zip_code,DP05_0004E,DP05_0008PE,DP05_0009PE,DP05_0024PE
00601,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
01054,130.9,5.8,3.1,28.0
01056,101.7,5.1,3.8,25.9
01057,105.2,6.0,4.5,18.7
01060,97.7,7.1,6.3,18.7
01062,63.1,10.1,13.8,15.8
01063,89.0,5.9,3.4,20.8
01066,2.3,39.6,60.4,0.0
01068,-,0.0,0.0,100.0
01069,93.8,7.9,6.7,16.5
01070,90.6,5.3,6.7,18.8
01071,112.5,6.3,4.8,29.3
01072,93.3,7.4,7.7,16.9
01073,87.1,6.6,5.1,18.7
01074,104.8,7.2,6.7,19.5
01075,59.3,7.1,23.1,6.1
01077,64.2,10.7,12.3,19.3
01079,101.9,5.3,4.5,21.7
01080,92.8,10.0,0.0,13.3
01081,89.7,13.6,8.3,9.8
01082,98.4,5.6,4.9,16.7
01083,96.0,3.7,4.8,20.5
01084,80.9,5.5,5.8,12.5
01085,97.6,6.5,4.8,32.1
01086,92.7,9.0,9.8,17.5
01088,102.8,79.9,20.1,0.0
01089,88.5,1.8,14.1,9.2
01092,95.3,6.4,6.2,15.9
01093,62.6,7.4,9.7,10.6
01094,104.6,11.8,8.6,29.7
01095,86.1,0.0,4.7,42.1
01096,85.5,7.4,4.7,21.4
01097,103.8,6.8,5.9,21.6
01098,64.7,12.5,0.0,5.4
01103,87.4,3.8,7.3,24.9
01104,80.4,3.1,4.8,10.7
01105,85.9,7.0,8.4,14.3
01106,99.9,6.1,7.2,11.3
01107,91.7,6.6,4.1,20.7
01108,94.7,8.1,10.3,9.9
01109,90.1,7.1,8.6,10.4
01118,91.7,11.6,14.9,10.3
01119,101.8,4.1,5.8,15.7
01128,87.4,10.5,9.0,15.1
01129,109.7,2.5,4.8,25.0
01151,91.3,5.7,6.4,18.0
01199,86.7,5.1,7.9,11.3
01201,-,-,-,-
01220,90.1,4.7,6.1,20.4
01222,105.3,4.9,4.9,19.5
01223,78.1,3.7,7.6,21.8
01224,105.1,4.5,2.3,23.7
01225,92.3,8.8,0.0,0.0
01226,112.7,5.5,3.7,22.2
01229,91.1,5.5,4.2,21.7
01230,152.8,0.0,0.0,42.9
01235,88.4,9.5,4.5,25.1
01236,102.3,5.3,4.5,20.4
01237,92.5,4.4,10.6,21.4
01238,102.6,3.5,4.5,25.4
01240,87.5,6.0,3.6,25.9
01242,88.4,6.2,6.1,41.8
01243,56.0,3.6,0.0,13.8
01244,76.3,3.4,1.5,25.0
01245,175.0,0.0,0.0,43.2
01247,92.6,6.6,2.3,33.1
01253,102.1,7.0,9.8,19.5
01254,97.7,4.6,0.0,36.5
01255,93.1,3.7,0.4,36.7
01256,109.6,5.9,3.3,25.9
01257,123.0,2.8,5.6,20.7
01258,111.9,7.2,7.6,30.8
01259,125.9,8.2,2.9,22.1
01260,94.2,3.0,4.4,34.1
01262,53.6,4.9,16.6,16.2
01264,73.3,2.6,6.3,39.6
01266,70.2,2.9,11.7,31.6
01267,101.7,3.6,3.8,29.8
01270,83.5,18.3,19.5,19.9
01301,102.0,4.4,6.3,21.4
01330,99.2,4.5,5.1,21.2
01331,98.4,5.6,4.9,24.8
01337,87.2,5.6,6.3,16.7
01338,109.1,5.9,3.0,21.7
01339,130.6,0.0,0.0,30.1
01340,88.8,5.1,5.0,28.4
01341,96.8,2.7,7.6,25.3
01342,106.1,5.9,3.5,23.8
01343,87.1,10.9,16.9,18.9
01344,95.0,0.0,0.0,15.4
01346,83.8,5.4,4.5,19.3
01347,74.4,5.1,10.2,32.1
01349,22.2,5.2,28.6,18.2
01350,90.8,7.0,9.3,15.0
01351,102.3,2.3,2.3,20.7
01354,87.1,3.5,3.2,20.1
01355,149.0,6.8,4.1,19.5
01360,117.5,7.6,2.0,23.5
01364,95.1,6.7,3.4,19.8
01366,86.5,5.8,5.4,18.3
01367,90.7,7.1,6.3,25.4
01368,86.8,10.3,4.1,21.4
01370,108.6,5.4,1.5,22.6
01373,88.8,4.6,3.9,25.0
01375,93.4,6.0,2.7,21.0
01376,91.2,2.2,12.0,15.7
01378,86.7,3.7,5.1,22.2
01379,100.5,2.8,5.6,19.7
01420,102.7,3.7,1.6,22.2
01430,99.7,7.0,9.3,13.5
01431,96.8,7.4,3.8,13.2
01432,108.5,7.0,3.9,15.7
01434,98.2,1.9,6.2,14.9
01436,443.9,3.3,3.4,13.0
01438,108.4,4.5,7.7,18.2
01440,116.2,16.3,0.1,0.0
01450,106.6,4.4,5.8,15.4
01451,96.9,9.0,5.1,14.9
01452,105.9,6.5,2.9,17.4
01453,98.1,5.6,8.3,18.6
01460,90.8,5.5,5.5,15.9
01462,96.7,8.1,3.3,15.4
01463,91.9,8.0,3.7,16.9
01464,97.7,6.5,5.9,15.5
01467,164.9,2.7,8.6,13.9
01468,54.2,5.4,0.0,37.7
01469,82.2,4.5,4.6,19.6
01473,97.5,5.5,6.0,14.1
01474,100.6,4.5,4.8,17.5
01475,101.5,6.7,6.0,17.6
01501,108.3,5.7,6.5,14.2
01503,95.0,5.3,5.1,18.9
01504,92.8,4.4,6.0,25.5
01505,96.3,6.9,6.2,14.5
01506,94.1,8.7,5.1,17.3
01507,97.6,4.6,6.5,19.3
01510,91.8,5.6,6.9,14.8
01515,98.1,6.5,6.6,13.0
01516,102.6,3.3,7.0,15.7
01518,107.9,8.1,6.8,12.1
01519,87.2,3.7,3.5,15.4
01520,93.7,8.3,5.0,13.5
01521,93.8,6.9,4.4,16.5
01522,110.1,8.4,4.8,17.6
01523,97.9,9.4,3.7,21.8
01524,153.5,7.3,6.0,15.8
01525,89.4,9.2,9.2,13.8
01527,84.4,0.0,8.8,7.7
01529,91.1,4.9,6.7,17.7
01531,86.7,6.8,4.9,12.2
01532,93.8,6.4,3.4,14.4
01534,90.4,6.4,5.5,15.8
01535,85.9,7.1,4.6,17.7
01536,90.1,6.5,7.1,16.1
01537,92.6,7.7,5.9,12.6
01540,84.2,10.4,10.5,15.4
01541,102.0,5.8,6.9,13.4
01542,108.1,7.1,3.2,22.4
01543,86.8,2.3,2.5,16.3
01545,115.3,9.3,5.1,11.4
01550,96.2,6.1,5.5,16.8
01560,95.5,6.3,7.8,15.0
01561,97.8,5.1,4.1,12.6
01562,164.6,0.0,0.0,57.9
01564,110.4,5.1,5.4,18.2
01566,91.2,8.3,3.4,18.9
01568,76.7,6.7,5.9,19.6
01569,101.6,5.5,3.5,14.3
01570,106.5,6.4,5.6,14.2
01571,84.5,6.4,5.8,18.0
01581,93.9,11.3,10.0,14.4
01583,100.9,5.9,3.0,13.7
01585,142.2,3.1,5.5,18.4
01588,95.2,2.2,5.7,22.0
01590,92.4,6.0,5.8,17.2
01602,108.1,8.4,4.5,15.3
01603,93.6,8.4,9.1,17.7
01604,99.0,7.9,9.2,13.6
01605,98.2,5.2,7.4,11.9
01606,97.5,7.2,9.1,13.5
01607,92.8,6.8,5.4,15.8
01608,92.2,5.4,5.7,13.0
01609,77.6,5.3,12.8,8.0
01610,106.8,14.3,15.8,17.0
01611,92.0,15.8,18.3,8.8
01612,100.3,6.5,8.0,13.0
01701,106.0,11.9,8.4,16.3
01702,97.8,5.0,4.6,20.1
01718,95.6,7.9,6.4,12.1
01719,92.2,16.1,3.4,4.8
01720,102.1,8.1,5.0,11.7
01721,94.9,7.3,3.7,15.8
01730,94.5,4.6,5.5,16.0
01731,91.4,6.4,4.0,17.4
01740,124.3,8.1,4.5,0.5
01741,105.0,7.3,3.9,13.0
01742,112.0,6.7,4.6,19.4
01745,105.2,6.1,2.7,20.6
01746,49.5,2.2,5.9,6.6
01747,92.7,7.7,4.3,14.4
01748,95.6,6.5,3.4,17.1
01749,94.6,6.9,2.7,14.1
01752,96.2,7.1,5.3,17.8
01754,94.0,5.6,5.7,14.2
01756,95.2,4.5,4.2,15.2
01757,95.9,6.1,6.0,16.1
01760,98.7,5.6,5.0,15.2
01770,97.3,5.7,3.6,15.5
01772,85.2,9.0,2.4,16.8
01773,98.2,7.9,5.0,15.3
01775,91.1,7.0,2.7,28.4
01776,92.1,7.5,4.5,16.3
01778,102.4,7.6,4.3,15.8
01801,99.8,7.2,3.9,18.0
01803,102.4,5.7,5.6,16.3
01810,91.3,5.6,5.4,19.2
01821,93.3,8.4,5.3,14.8
01824,98.0,6.4,6.9,14.9
01826,96.6,5.5,5.1,18.2
01827,97.4,6.7,5.7,15.4
01830,99.3,8.1,6.9,14.8
01832,95.2,6.3,5.5,14.6
01833,91.9,6.6,6.5,11.8
01834,98.5,7.8,3.6,15.8
01835,104.0,6.7,9.5,17.8
01840,92.4,7.0,6.6,10.5
01841,96.4,5.1,8.5,13.6
01843,95.6,8.2,9.3,9.8
01844,96.2,6.5,7.0,10.8
01845,92.6,8.1,7.0,16.0
01850,92.5,9.3,6.6,15.9
01851,118.6,5.2,10.4,10.2
01852,95.6,5.3,8.9,10.3
01854,94.7,5.7,6.4,12.3
01860,101.5,12.0,15.3,10.5
01862,98.4,10.3,4.8,19.1
01863,114.9,7.4,4.9,16.3
01864,87.2,5.6,5.6,20.5
01867,104.9,7.7,5.1,14.4
01876,97.3,6.1,3.3,17.5
01879,91.2,6.1,5.4,18.0
01880,98.8,7.7,7.3,11.8
01886,91.0,4.8,4.6,18.6
01887,97.2,8.8,4.6,13.0
01890,97.1,6.5,6.1,16.4
01901,94.7,6.2,3.7,17.7
01902,98.2,8.9,12.7,21.8
01904,103.9,5.4,8.2,11.4
01905,91.5,7.2,7.0,13.9
01906,104.8,7.9,6.4,9.8
01907,95.9,4.3,6.2,20.2
01908,83.8,5.5,4.9,19.1
01913,86.6,8.5,3.4,24.4
01915,95.1,6.1,5.6,16.8
01921,87.1,6.7,9.2,16.8
01922,104.9,7.9,4.2,16.1
01923,89.0,7.9,2.5,22.9
01929,83.3,5.5,5.5,21.1
01930,96.0,4.5,3.4,18.4
01937,93.8,4.5,4.6,23.0
01938,361.5,0.0,0.0,0.0
01940,92.8,5.9,5.7,22.4
01944,91.2,5.8,5.4,19.7
01945,100.9,6.8,3.7,23.6
01949,88.9,7.6,2.9,21.8
01950,114.5,4.3,7.7,18.4
01951,83.6,5.1,3.6,21.0
01952,75.2,5.2,2.4,22.1
01960,99.5,4.8,4.5,20.4
01966,92.5,4.8,6.4,22.5
01969,77.8,5.0,2.0,33.7
01970,86.9,7.1,5.0,16.9
01982,83.3,5.7,10.2,16.1
01983,102.3,6.5,5.0,14.1
01984,93.9,6.7,1.7,23.0
01985,76.1,18.3,17.1,15.5
02019,108.6,8.9,4.7,21.1
02021,103.1,6.1,6.1,14.0
02025,91.1,5.1,4.8,18.7
02026,89.7,4.3,4.4,17.0
02030,86.8,4.8,5.6,19.3
02032,103.0,9.3,6.4,15.5
02035,109.3,9.9,1.4,14.6
02038,97.8,5.9,5.5,17.8
02043,92.9,10.0,6.1,12.8
02045,91.0,5.6,3.5,20.7
02047,86.4,4.7,4.4,24.0
02048,110.9,13.4,0.0,42.3
02050,98.9,6.6,6.1,10.9
02052,91.3,6.4,4.9,18.3
02053,99.7,7.5,4.2,13.4
02054,86.9,9.1,5.5,13.4
02056,94.2,7.1,4.6,17.9
02061,140.4,7.8,3.8,13.8
02062,94.8,8.2,3.5,17.5
02066,89.1,5.3,4.9,18.0
02067,90.3,6.1,3.3,22.6
02071,93.1,7.4,4.3,16.1
02072,609.8,5.8,8.7,10.0
02081,87.3,6.8,5.5,18.5
02090,95.3,8.2,3.8,17.0
02093,92.1,6.6,5.7,18.5
02108,106.3,6.9,4.6,14.2
02109,98.0,6.8,4.4,16.1
02110,122.5,1.0,5.7,15.3
02111,80.4,1.0,2.2,29.2
02113,91.1,11.7,10.9,13.8
02114,101.3,0.0,13.3,8.3
02115,98.6,1.8,6.6,12.9
02116,98.0,27.7,30.8,7.9
02118,83.8,8.4,8.2,16.3
02119,95.5,4.1,7.4,11.8
02120,82.6,6.3,10.0,13.4
02121,113.1,11.0,32.4,6.6
02122,88.3,6.8,7.6,12.7
02124,97.0,5.1,6.5,10.2
02125,80.6,6.5,6.5,13.2
02126,100.5,7.7,8.8,10.5
02127,84.0,6.7,5.3,13.9
02128,98.4,2.4,5.6,8.7
02129,113.1,5.0,6.5,9.0
02130,88.7,2.3,3.3,11.0
02131,85.7,3.5,5.7,13.0
02132,88.3,5.9,5.1,12.8
02134,87.7,4.2,2.7,20.5
02135,105.8,3.2,23.3,5.1
02136,94.1,2.5,13.3,12.3
02138,92.0,6.6,7.5,12.7
02139,93.3,12.2,17.1,12.8
02140,105.8,7.6,13.6,9.1
02141,94.8,4.2,8.6,12.1
02142,104.6,2.1,13.8,11.2
02143,107.9,4.2,14.7,8.1
02144,94.9,2.5,9.4,10.0
02145,97.2,2.4,14.4,10.6
