,zip_code, !!Total:, !!Total:!!Urban, !!Total:!!Rural
211,01223,2430,0,2430
212,01224,217,99,118
213,01225,3258,1330,1928
214,01226,6324,4525,1799
215,01229,189,0,189
216,01230,8907,0,8907
217,01235,2733,344,2389
218,01236,1513,0,1513
219,01237,2365,459,1906
220,01238,5722,4144,1578
221,01240,4692,3483,1209
222,01242,449,449,0
223,01243,175,0,175
224,01244,287,0,287
225,01245,933,0,933
226,01247,15147,12211,2936
227,01253,808,0,808
228,01254,946,0,946
229,01255,959,0,959
230,01256,645,0,645
231,01257,2140,0,2140
232,01258,160,0,160
233,01259,643,0,643
234,01260,233,140,93
235,01262,1758,784,974
236,01264,219,0,219
237,01266,1208,0,1208
238,01267,7876,5762,2114
239,01270,755,0,755
240,01301,18042,15309,2733
241,01330,1500,0,1500
242,01331,13656,8848,4808
243,01337,2562,500,2062
244,01338,127,0,127
245,01339,1487,0,1487
246,01340,1803,0,1803
247,01341,1539,0,1539
248,01342,1538,299,1239
249,01343,165,0,165
250,01344,1665,0,1665
251,01346,352,0,352
252,01347,204,0,204
253,01349,827,532,295
254,01350,118,0,118
255,01351,2293,174,2119
256,01354,1546,183,1363
257,01355,879,0,879
258,01360,2871,0,2871
259,01364,7665,4709,2956
260,01366,1187,0,1187
261,01367,506,0,506
262,01368,1283,0,1283
263,01370,3932,0,3932
264,01373,4526,2750,1776
265,01375,3639,2314,1325
266,01376,5324,5297,27
267,01378,780,0,780
268,01379,774,0,774
269,01380,82,0,82
270,01420,41940,38764,3176
271,01430,6303,0,6303
272,01431,3193,0,3193
273,01432,8221,8123,98
274,01434,1652,1652,0
275,01436,3208,0,3208
276,01438,414,414,0
277,01440,21577,19610,1967
278,01450,11298,4549,6749
279,01451,5461,129,5332
280,01452,4328,152,4176
281,01453,43752,42671,1081
282,01460,10141,9280,861
283,01462,11818,7034,4784
284,01463,11621,6222,5399
285,01464,7427,4922,2505
286,01468,4309,430,3879
287,01469,7055,0,7055
288,01473,8213,2540,5673
289,01474,2072,0,2072
290,01475,10304,4866,5438
291,01501,16731,15239,1492
292,01503,3158,1579,1579
293,01504,9208,8186,1022
294,01505,4849,2440,2409
295,01506,3439,352,3087
296,01507,13315,1254,12061
297,01510,15428,15401,27
298,01515,2224,1213,1011
299,01516,8962,3135,5827
300,01518,3176,2126,1050
301,01519,7254,6360,894
302,01520,16394,15502,892
303,01521,2603,0,2603
304,01522,3464,1873,1591
305,01523,8377,5648,2729
306,01524,6621,4777,1844
307,01525,73,73,0
308,01527,13799,12737,1062
309,01529,3174,1982,1192
310,01531,996,0,996
311,01532,15741,14907,834
312,01534,6233,5498,735
313,01535,4735,224,4511
314,01536,7514,7319,195
315,01537,2141,1435,706
316,01540,11032,8477,2555
317,01541,3495,0,3495
318,01542,2366,1926,440
319,01543,9049,0,9049
320,01545,38316,38130,186
321,01550,17740,15465,2275
322,01560,4896,4896,0
323,01561,64,64,0
324,01562,11992,6788,5204
325,01564,7985,2891,5094
326,01566,6691,3036,3655
327,01568,7900,3983,3917
328,01569,14193,10476,3717
329,01570,17776,17229,547
330,01571,11921,9068,2853
331,01581,21567,20975,592
332,01583,7652,6424,1228
333,01585,4899,0,4899
334,01588,10106,9014,1092
335,01590,9279,4743,4536
336,01602,25382,25360,22
337,01603,22417,22417,0
338,01604,41301,41301,0
339,01605,29218,29218,0
340,01606,21651,21651,0
341,01607,9378,9378,0
342,01608,4996,4996,0
343,01609,23870,23870,0
344,01610,28717,28717,0
345,01611,2277,2138,139
346,01612,5051,1296,3755
347,01701,33005,32404,601
348,01702,39515,39483,32
349,01718,688,688,0
350,01719,5506,5287,219
351,01720,23232,22526,706
352,01721,18832,18538,294
353,01730,14566,14526,40
354,01731,1555,1555,0
355,01740,5665,1543,4122
356,01741,5237,1094,4143
357,01742,18545,16187,2358
358,01745,433,433,0
359,01746,14996,14216,780
360,01747,6017,5956,61
361,01748,18758,15638,3120
362,01749,20092,19753,339
363,01752,41793,41287,506
364,01754,10730,10707,23
365,01756,6228,2054,4174
366,01757,30479,30089,390
367,01760,36659,36638,21
368,01770,4401,793,3608
369,01772,10017,9442,575
370,01773,5651,3657,1994
371,01775,7190,4674,2516
372,01776,18934,17200,1734
373,01778,14132,13464,668
374,01801,40891,40891,0
375,01803,26074,26074,0
376,01810,35621,35540,81
377,01821,30909,30734,175
378,01824,26881,26834,47
379,01826,32689,31502,1187
380,01827,3358,262,3096
381,01830,27553,27009,544
382,01832,25656,25182,474
383,01833,8410,7084,1326
384,01834,6752,6116,636
385,01835,14578,14382,196
386,01840,7121,7121,0
387,01841,53654,53654,0
388,01843,28346,28346,0
389,01844,52970,52970,0
390,01845,31855,31110,745
391,01850,16670,16670,0
392,01851,32691,32691,0
393,01852,36708,36708,0
394,01854,29561,29561,0
395,01860,6723,5220,1503
396,01862,11430,11389,41
397,01863,9536,9536,0
398,01864,15554,15554,0
399,01867,25522,25522,0
400,01876,31105,31105,0
401,01879,12368,11685,683
402,01880,27071,27071,0
403,01886,24618,23738,880
404,01887,23349,23349,0
405,01890,22970,22970,0
406,01901,2794,2794,0
407,01902,50725,50725,0
408,01904,19944,19944,0
409,01905,27761,27761,0
410,01906,28619,28619,0
411,01907,15148,15148,0
412,01908,3334,3334,0
413,01913,17366,17097,269
414,01915,42341,41895,446
415,01921,8263,1221,7042
416,01922,3134,1832,1302
417,01923,27987,27970,17
418,01929,3618,1774,1844
419,01930,29729,26454,3275
420,01937,100,100,0
421,01938,13785,9380,4405
422,01940,13326,13326,0
423,01944,5395,4275,1120
424,01945,20462,20462,0
425,01949,9779,9253,526
426,01950,18289,17491,798
427,01951,3582,1215,2367
428,01952,9236,9236,0
429,01960,54155,54155,0
430,01965,329,280,49
431,01966,6992,6847,145
432,01969,6161,2746,3415
433,01970,44451,44451,0
434,01982,7618,5340,2278
435,01983,6569,4462,2107
436,01984,4979,2812,2167
437,01985,4500,1844,2656
438,02019,16945,15557,1388
439,02021,24370,23857,513
440,02025,8381,8132,249
441,02026,25364,25364,0
442,02030,5923,3717,2206
443,02032,4853,4853,0
444,02035,18618,18388,230
445,02038,33261,32753,508
446,02043,24272,23504,768
447,02045,10072,10066,6
448,02047,371,371,0
449,02048,23860,23860,0
450,02050,25956,23850,2106
451,02052,12799,12002,797
452,02053,13115,13115,0
453,02054,8460,7314,1146
454,02056,11662,11473,189
455,02061,11351,6241,5110
456,02062,31611,31611,0
457,02066,18561,17656,905
458,02067,18553,16849,1704
459,02071,968,968,0
460,02072,29281,28002,1279
461,02081,20584,20584,0
462,02090,16266,16092,174
463,02093,12178,10063,2115
464,02108,4228,4228,0
465,02109,3921,3921,0
466,02110,2921,2921,0
467,02111,9716,9716,0
468,02113,7126,7126,0
469,02114,14469,14469,0
470,02115,31604,31604,0
471,02116,23408,23408,0
472,02118,29073,29073,0
473,02119,29175,29175,0
474,02120,17578,17578,0
475,02121,28766,28766,0
476,02122,24385,24385,0
477,02124,50972,50972,0
478,02125,34926,34908,18
479,02126,22734,22734,0
480,02127,37939,37939,0
481,02128,43066,43066,0
482,02129,19120,19120,0
483,02130,38284,38284,0
484,02131,30544,30544,0
485,02132,27111,27111,0
486,02133,56,56,0
487,02134,21707,21707,0
488,02135,47232,47232,0
489,02136,35102,35102,0
490,02138,37982,37982,0
491,02139,39525,39525,0
492,02140,21447,21447,0
493,02141,15130,15130,0
494,02142,4499,4499,0
495,02143,26022,26022,0
496,02144,25497,25497,0
497,02145,27520,27520,0
498,02148,66274,66274,0
499,02149,49075,49075,0
500,02150,40721,40721,0
501,02151,62252,62234,18
502,02152,19316,19316,0
503,02155,61483,61483,0
504,02163,1391,1391,0
505,02169,62140,62096,44
506,02170,19950,19922,28
507,02171,19539,19539,0
508,02176,29817,29817,0
509,02180,23244,23244,0
510,02184,39143,39143,0
511,02186,28637,28170,467
512,02188,15133,15133,0
513,02189,15123,15123,0
514,02190,18910,18910,0
515,02191,8271,8271,0
516,02199,1574,1574,0
517,02203,0,0,0
518,02205,10,10,0
519,02210,5808,5808,0
520,02215,26926,26926,0
521,02301,69418,69418,0
522,02302,36202,36202,0
523,02322,4777,4777,0
524,02324,25676,24557,1119
525,02325,3025,3025,0
526,02330,11645,5254,6391
527,02332,16090,14268,1822
528,02333,14382,13832,550
529,02338,7749,4292,3457
530,02339,14833,14619,214
531,02341,10367,9178,1189
532,02343,11364,11364,0
533,02346,24245,11310,12935
534,02347,11523,5186,6337
535,02350,272,272,0
536,02351,17085,17085,0
537,02356,12767,12465,302
538,02357,1906,1906,0
539,02359,18361,17303,1058
540,02360,61134,55013,6121
541,02364,13708,11939,1769
542,02366,83,0,83
543,02367,2930,328,2602
544,02368,35025,34893,132
545,02370,17803,17803,0
546,02375,10373,9523,850
547,02379,7697,7650,47
548,02382,15121,15121,0
549,02420,15502,15502,0
550,02421,18950,18947,3
551,02445,22499,22499,0
552,02446,31957,31957,0
553,02451,17953,17953,0
554,02452,15340,15340,0
555,02453,31854,31854,0
556,02457,1560,1560,0
557,02458,12817,12817,0
558,02459,19017,19017,0
559,02460,9204,9204,0
560,02461,7430,7430,0
561,02462,1569,1569,0
562,02464,3193,3193,0
563,02465,12415,12415,0
564,02466,8434,8434,0
565,02467,22626,22626,0
566,02468,5713,5713,0
567,02472,35392,35392,0
568,02474,28551,28551,0
569,02476,17757,17757,0
570,02478,27286,27286,0
571,02481,17280,17280,0
572,02482,10710,10710,0
573,02492,21359,20748,611
574,02493,11851,11851,0
575,02494,10732,10732,0
576,02532,13411,12274,1137
577,02534,899,884,15
578,02535,1651,0,1651
579,02536,19993,19101,892
580,02537,6178,4972,1206
581,02538,4428,4229,199
582,02539,5168,4533,635
583,02540,8450,8307,143
584,02542,793,358,435
585,02543,756,725,31
586,02553,164,147,17
587,02554,13517,12011,1506
588,02556,3338,3338,0
589,02557,2372,2330,42
590,02558,2178,2148,30
591,02559,3388,3388,0
592,02561,712,712,0
593,02562,3204,3204,0
594,02563,10070,9700,370
595,02564,703,0,703
596,02568,8172,7201,971
597,02571,10858,9834,1024
598,02575,3167,0,3167
599,02576,3957,3215,742
600,02584,35,0,35
601,02601,16487,16487,0
602,02630,1956,1928,28
603,02631,10178,9933,245
604,02632,11475,11475,0
605,02633,4664,4616,48
606,02635,3632,3632,0
607,02637,267,267,0
608,02638,2968,2968,0
609,02639,3238,3238,0
610,02641,332,332,0
611,02642,5752,5671,81
612,02643,13,12,1
613,02644,3954,3954,0
614,02645,10436,10376,60
615,02646,1926,1926,0
616,02647,136,136,0
617,02648,7325,7226,99
618,02649,15060,15060,0
619,02650,829,829,0
620,02652,1402,1318,84
621,02653,6307,6233,74
622,02655,3591,3591,0
623,02657,3664,3657,7
624,02659,1100,1100,0
625,02660,6662,6662,0
626,02663,257,186,71
627,02664,9935,9935,0
628,02666,1052,723,329
629,02667,3309,3126,183
630,02668,3222,2635,587
631,02670,1463,1463,0
632,02671,1216,1216,0
633,02672,297,297,0
634,02673,8892,8866,26
635,02675,6712,6390,322
636,02702,4267,2373,1894
637,02703,46389,46389,0
638,02713,39,0,39
639,02715,4036,736,3300
640,02717,4951,1342,3609
641,02718,6882,6633,249
642,02719,15924,14900,1024
643,02720,31209,30987,222
644,02721,28075,28075,0
645,02723,16084,16084,0
646,02724,18050,18050,0
647,02725,2632,2632,0
648,02726,15671,15671,0
649,02738,5347,4230,1117
650,02739,6508,3666,2842
651,02740,45166,45166,0
652,02743,10434,6923,3511
653,02744,13055,13055,0
654,02745,25336,24877,459
655,02746,17355,17355,0
656,02747,22326,16760,5566
657,02748,11888,9605,2283
658,02760,28716,28354,362
659,02762,9945,9044,901
660,02763,2118,2118,0
661,02764,4081,1964,2117
662,02766,19202,16718,2484
663,02767,15376,14641,735
664,02769,12521,1556,10965
665,02770,5560,0,5560
666,02771,15512,13923,1589
667,02777,17133,14605,2528
668,02779,6764,1535,5229
669,02780,52299,50156,2143
670,02790,16458,7700,8758
671,02791,312,0,312
672,02802,814,814,0
673,02804,2782,1449,1333
674,02806,17153,17111,42
675,02807,1410,0,1410
676,02808,2332,0,2332
677,02809,22493,22196,297
678,02812,1220,0,1220
679,02813,8021,3146,4875
680,02814,7549,718,6831
681,02815,247,0,247
682,02816,33206,29475,3731
683,02817,6528,2004,4524
684,02818,19907,18325,1582
685,02822,5960,567,5393
686,02823,151,151,0
687,02824,404,404,0
688,02825,5265,0,5265
689,02826,822,549,273
690,02827,2224,0,2224
691,02828,7469,7344,125
692,02829,122,61,61
693,02830,6474,3046,3428
694,02831,3860,2215,1645
695,02832,4887,0,4887
696,02833,469,63,406
697,02835,5559,5103,456
698,02836,158,0,158
699,02837,3616,313,3303
700,02838,3801,3801,0
701,02839,1870,1402,468
702,02840,23902,23817,85
703,02841,1220,1220,0
704,02842,17115,17021,94
705,02852,23579,21625,1954
706,02857,8339,1869,6470
707,02858,580,570,10
708,02859,6701,4111,2590
709,02860,47894,47894,0
710,02861,27833,27833,0
711,02863,22596,22596,0
712,02864,36376,34768,1608
713,02865,17902,17902,0
714,02871,17640,17396,244
715,02872,231,0,231
716,02873,266,0,266
717,02874,6137,3228,2909
718,02875,350,0,350
719,02876,753,753,0
720,02878,16359,13490,2869
721,02879,20982,14681,6301
722,02881,8443,8280,163
723,02882,12919,12078,841
724,02885,11147,10912,235
725,02886,29373,29373,0
726,02888,19578,19578,0
727,02889,28277,28274,3
728,02891,21803,21055,748
729,02892,5420,0,5420
730,02893,31030,31030,0
731,02894,814,0,814
732,02895,43269,43269,0
733,02896,11154,8287,2867
734,02898,1887,0,1887
735,02903,13264,13264,0
736,02904,31542,31542,0
737,02905,26334,26334,0
738,02906,25559,25559,0
739,02907,29827,29827,0
740,02908,38507,38507,0
741,02909,46119,46119,0
742,02910,21907,21907,0
743,02911,16384,16384,0
744,02912,4739,4739,0
745,02914,22140,22140,0
746,02915,16603,16603,0
747,02916,8350,8350,0
748,02917,14738,13582,1156
749,02918,3125,3125,0
750,02919,29473,28286,1187
751,02920,37791,37791,0
752,02921,12406,12036,370
753,03031,11763,5627,6136
754,03032,5930,615,5315
755,03033,5639,0,5639
756,03034,4066,0,4066
757,03036,5251,0,5251
758,03037,4802,0,4802
759,03038,34482,31176,3306
760,03042,7146,704,6442
761,03043,1610,0,1610
762,03044,4739,40,4699
763,03045,14107,3171,10936
764,03046,3005,0,3005
765,03047,1727,0,1727
766,03048,3353,0,3353
767,03049,8342,352,7990
768,03051,25394,24114,1280
769,03052,8478,5866,2612
770,03053,25646,24539,1107
771,03054,26622,23898,2724
772,03055,16120,11575,4545
773,03057,2612,0,2612
774,03060,31251,31251,0
775,03062,28966,28753,213
776,03063,16036,15946,90
777,03064,15069,15069,0
778,03070,6134,0,6134
779,03071,5198,0,5198
780,03076,14222,11751,2471
781,03077,10684,4522,6162
782,03079,30095,29869,226
783,03082,1621,0,1621
784,03084,1382,0,1382
785,03086,3982,1318,2664
786,03087,15817,12648,3169
787,03101,3885,3885,0
788,03102,33396,33396,0
789,03103,38039,38039,0
790,03104,34324,34324,0
791,03106,14799,12046,2753
792,03109,10580,10159,421
