zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
00601,14361,1353,16001,1513,20000,2862,9419,2104
00602,16807,1241,19801,1761,26009,2330,9963,1449
00603,16049,999,18973,1275,31447,3012,10520,1005
00606,12119,2092,15298,6366,15519,6720,10272,2285
00610,19898,1756,23612,1843,30211,4667,12352,1512
00612,18741,1228,24339,1600,32012,1809,9675,670
00616,17007,2046,20805,2898,20929,9045,8708,2104
00617,16984,1847,19838,2451,27645,4470,10295,2324
00622,14615,2067,17290,8286,25781,14568,8948,2250
00623,17130,1220,20448,1950,25928,2773,11005,1724
00624,16701,867,19342,2286,26551,3400,10643,1516
00627,17000,1062,20616,1347,23402,3302,9714,842
00631,10244,2034,12188,3988,15104,7791,6447,5183
00637,17405,1559,22106,2353,27065,2878,10512,1193
00638,16843,1242,18914,1804,23864,3826,10304,1851
00641,15792,1228,19972,1786,23908,2432,8515,1135
00646,30573,2789,37357,3046,50254,4732,14975,2463
00647,14223,1574,17659,2441,19670,3812,10243,2609
00650,19764,2399,22310,2160,24449,2401,11779,2116
00652,21987,2099,24154,3882,28500,6051,14832,5337
00653,12072,1529,15234,2927,22601,5087,7037,1118
00656,17355,1443,19699,1922,25910,2272,11922,2169
00659,17715,1548,23679,3227,31025,2788,10100,1437
00660,19030,1578,23658,1444,34309,6842,12482,1699
00662,16834,1517,18840,1329,23767,2936,10847,1640
00664,14595,2884,17403,3492,22088,2550,4977,2303
00667,14013,1064,16166,2356,19390,2062,11029,2282
00669,16922,1593,19540,1671,21880,2720,8142,996
00670,14245,2726,17861,5082,23000,8751,6447,2083
00674,18299,1461,23424,1612,32967,2885,10611,878
00676,14992,1348,18630,2722,24987,3527,8975,1364
00677,19943,3043,29440,4386,37820,6443,10110,2902
00678,17144,2014,20992,1665,25754,5723,11043,2055
00680,14217,1090,20674,1493,30129,2905,8381,740
00682,14706,2004,20240,2042,29591,3799,9119,944
00683,16332,1332,21870,2395,25914,1186,10329,1247
00685,15185,1211,18690,1944,24408,2464,7106,899
00687,20941,1194,22147,1227,27121,4699,12232,2229
00688,17874,2062,20520,2172,24393,1235,9427,1529
00690,18288,7228,22042,9536,27722,3009,14976,3281
00692,20585,1700,23253,2264,26839,3219,11926,1710
00693,19576,1007,24677,1839,29611,2106,10872,1158
00694,-,**,-,**,-,**,-,**
00698,14794,984,20794,1743,23996,2987,8894,937
00703,18846,2920,21940,3084,29253,3485,11239,1140
00704,17275,2831,20742,3706,26636,2088,9851,2558
00705,20214,1734,23627,1837,30005,2181,12035,1728
00707,20760,2866,23232,2866,26922,5073,13466,5598
00714,17615,2619,19524,4182,27246,3193,11594,1662
00715,12188,2220,13750,2340,15378,2659,9794,2352
00716,17969,1892,21350,2127,31391,4611,12230,2128
00717,12121,963,16926,2833,35411,5254,9824,1233
00718,19372,2171,21011,1518,26765,2876,13237,2175
00719,18922,2347,23625,2268,26380,2914,8746,1391
00720,15295,1365,16709,2417,22407,2768,8635,1890
00723,16063,1456,19915,1929,24137,4814,9212,1515
00725,21350,1119,26273,2240,37846,3910,13276,1011
00727,31688,2144,37017,2080,48886,5132,18233,3050
00728,19340,1101,22100,1537,29892,3849,12485,1764
00729,21469,1489,26701,2177,35285,2774,12097,1251
00730,15723,1205,19328,2634,28012,3560,10222,1094
00731,15473,2681,19853,4209,30246,2863,8890,2556
00735,18395,1976,22403,3512,28635,2632,13077,2095
00736,21894,1454,25507,2115,33767,2526,11699,1041
00738,19859,1769,24045,1844,33213,4322,12832,1539
00739,20065,1300,22474,1522,30490,3127,12171,1294
00740,12944,4625,15061,3686,23125,13576,8860,2758
00741,22121,8280,25750,5831,27661,5502,12958,2431
00745,22960,1133,27260,2040,33106,2018,12419,2022
00751,18087,1793,21315,2205,27603,2537,10778,1553
00754,19403,1437,23476,1982,29153,3204,10989,923
00757,19827,2150,23965,4872,35554,3775,11961,1413
00765,14880,1963,22301,3804,29198,6829,12963,1220
00766,19682,1865,23195,2689,28723,2907,11273,1293
00767,16295,1482,20785,3082,27292,2165,10442,1767
00769,19700,1699,24221,2019,29690,2227,11761,1047
00771,21175,2120,25175,1619,29980,2560,11240,1266
00772,16107,1316,20101,2119,28882,5272,8107,2668
00773,21850,1845,25135,1765,28889,3833,14966,2003
00775,22667,5411,33625,5440,38333,9929,13500,4492
00777,19830,1276,21426,1395,31585,4808,13715,3982
00778,35183,2996,39044,4584,50504,5006,14611,4170
00780,21663,2267,23592,2867,30273,3793,8417,2417
00782,13683,1258,16700,1660,20472,2993,7760,2101
00783,14995,1321,17808,1934,23617,4895,9506,1547
00784,17415,1282,21116,2699,29515,3568,12126,1255
00786,37552,17910,37552,17910,36422,21158,-,**
00791,20269,1563,25582,1700,32138,2033,12068,854
00794,17073,1356,19682,2936,26543,3204,10449,1703
00795,20471,1438,23528,1684,29743,2866,11230,1420
00901,21469,4618,40839,8668,73958,33367,14990,2659
00906,106518,45890,-,**,-,**,153393,71672
00907,36495,3562,54813,16053,87391,16705,27849,4336
00909,19443,2096,24201,11672,37083,15035,17443,3505
00911,35470,4320,52912,7648,78750,19625,24246,5789
00912,22292,4108,28107,5431,32714,4330,17075,3565
00913,6493,2064,4506,2678,25083,15543,8084,2203
00915,12802,836,15508,1068,23588,2308,9261,677
00917,15220,1730,21911,1975,33478,4514,10927,1034
00918,25117,3278,43022,12685,63768,22635,18882,3404
00920,25809,1605,33612,2837,42467,4751,16792,1241
00921,18763,1503,23803,2059,39669,3371,14132,1641
00923,14159,1295,18466,2776,29935,4411,9887,1561
00924,18176,1304,20848,1943,43481,2914,12452,1496
00925,11090,2343,17024,4759,18897,9087,9576,1071
00926,35788,2123,45197,2723,61173,4419,19693,2142
00927,35268,3404,51667,11891,71012,5527,21625,3266
00934,-,**,-,**,-,**,-,**
00936,-,**,-,**,-,**,-,**
00949,27229,1346,32175,1657,40977,3355,15853,1626
00950,-,**,-,**,-,**,-,**
00951,-,**,-,**,-,**,-,**
00952,14991,1773,18679,2651,21844,4816,9303,1960
00953,29019,1512,34545,2287,41713,3221,12375,1738
00956,23127,1112,27862,1532,36363,2843,14468,1653
00957,26667,2315,30522,1629,40266,2925,15355,2067
00959,30466,1805,36643,2586,48382,2530,18938,1469
00960,-,**,-,**,-,**,-,**
00961,29511,2032,36292,2715,53140,3582,18929,1656
00962,15497,1388,18520,2301,27185,6492,9838,1212
00965,15276,1721,19460,2668,22107,5173,8902,2691
00966,48163,5037,65114,10268,102739,8639,26554,5961
00968,49099,10571,88869,18792,99946,13230,25174,4784
00969,50419,3207,58539,5570,82901,10922,26398,4016
00971,22480,3013,29418,2039,34978,5099,12770,1853
00976,32377,1328,39346,2322,48273,3270,15461,1838
00979,34701,3504,47639,5790,55636,13413,27249,2446
00982,24895,1942,28143,3664,36831,3477,19152,3658
00983,25750,2218,30010,2871,39288,4201,18258,2685
00985,26156,1474,31349,2469,40763,2834,15090,1853
00987,32555,2653,37438,2839,51497,3404,17475,3026
01001,63949,3784,88816,12304,102654,9809,43781,9338
01002,61159,8382,97319,11347,125060,12014,36375,2833
01003,"2,500-",***,-,**,-,**,-,**
01005,67302,6752,103825,26117,120417,24237,46994,4831
01007,91191,4893,105997,9900,118862,10724,56078,14256
01008,76333,8804,90417,20422,88438,15748,52083,19460
01009,80714,32645,-,**,-,**,81696,39340
01010,70063,22793,100038,22858,121125,21570,23145,11805
01011,76500,13932,77656,16528,95357,21522,65417,49369
01012,67321,9221,76500,16384,88250,14183,40921,6176
01013,43808,2949,56117,6636,82149,8344,26742,3531
01020,60561,2837,70955,7283,88129,4239,38610,3592
01022,46488,7093,54023,20626,64432,28865,39288,4582
01026,58438,8481,73333,14988,85938,13863,35714,19187
01027,67119,5247,87883,8687,97326,4287,42182,3487
01028,87748,6248,106591,13521,124321,12048,38125,8864
01029,87727,53114,-,**,-,**,-,**
01030,76000,7269,96719,14503,116500,10714,40699,15704
01031,38173,10673,86000,44840,96667,61542,20320,6327
01032,68750,39149,110714,24526,112841,7569,33750,6648
01033,96979,10710,114279,12848,127917,14752,39375,16340
01034,87750,10722,100000,15735,107647,8349,44531,12779
01035,74364,11786,102083,33832,111891,44186,52000,10056
01036,91646,5674,109886,17677,123261,19629,38125,13274
01037,80556,23500,106691,26523,113571,52702,-,**
01038,72045,13312,94408,10833,95875,13207,44830,18399
01039,94191,12303,117143,18329,133500,15407,44539,6857
01040,40769,3172,49481,4125,76382,5651,30400,4325
01050,67750,7645,84625,7799,91250,12633,43661,7556
01053,60823,17025,89286,19661,118750,33286,36641,28810
01054,90978,7944,98942,10493,107250,22822,55375,9529
01056,73458,6212,86864,3687,100235,8211,37660,5170
01057,83008,8433,104514,12605,111486,13038,38630,6993
01060,61798,4582,99420,11583,122115,20287,38405,6226
01062,75179,8929,96455,8138,110417,7075,36250,7672
01063,-,**,-,**,-,**,-,**
01066,-,**,-,**,-,**,-,**
01068,88571,5615,95104,9863,106000,12031,45893,15639
01069,63750,13704,91395,16991,101891,6287,39190,5665
01070,60000,11874,73333,7454,76250,12762,46458,6147
01071,75592,7323,80208,10292,90078,12432,48272,4454
01072,80625,12233,95000,7885,116667,18307,51667,18723
01073,104577,11802,132333,16167,135547,14630,50950,13356
01074,86414,11791,56414,23642,-,**,-,**
01075,69346,5458,92183,11519,105000,12479,43509,4697
01077,73776,9289,95882,13761,118162,15197,37854,3451
01079,31594,20756,-,**,-,**,-,**
01080,65741,12615,68375,19076,76429,35466,42371,24054
01081,69250,10148,75078,6503,75893,9274,40179,18828
01082,56637,6242,78563,10241,95141,11220,40402,4364
01083,60323,41503,91271,20970,92271,13856,23983,22679
01084,75938,22168,76250,20933,75313,27469,-,**
01085,68042,2821,87144,5360,101764,4541,38732,3049
01086,-,**,-,**,-,**,-,**
01088,54286,22939,59922,30965,-,**,-,**
01089,53053,3094,73658,4632,93779,8560,32818,3973
01092,108725,35242,90509,36491,109514,42894,-,**
01093,91563,34014,107813,21094,108750,33249,61136,43400
01094,-,**,-,**,-,**,18272,4620
01095,108965,6878,121547,9718,136250,14237,46275,8314
01096,82574,6629,100556,15948,106894,7278,41474,7918
01097,-,**,-,**,-,**,-,**
01098,80192,9779,96607,12800,99063,12206,47500,10378
01103,26135,5226,31071,21464,56795,51259,25674,7625
01104,34937,3403,43384,6672,62208,6320,24583,7671
01105,19427,1793,25322,4309,37045,21841,12343,1498
01106,121141,6629,141886,7612,149035,11240,55147,12937
01107,26258,3677,34904,7123,49099,11184,11834,1076
01108,43235,3938,48065,7105,75551,14201,27355,6954
01109,35339,2850,39954,4845,73028,10708,18026,4399
01118,63571,6798,74258,5995,94306,7094,47927,5567
01119,46985,5816,55224,7236,77266,13408,29963,6320
01128,61659,12337,93194,21707,103028,9811,33526,17329
01129,58621,7512,75574,5402,93601,5336,38750,8017
01151,43128,2942,43988,2337,67337,16495,30737,5495
01199,-,**,-,**,-,**,-,**
01201,52223,2683,71969,3190,91524,6391,31581,2785
01220,53223,3561,71845,6810,81250,9677,37734,3230
01222,58646,37741,81944,26103,81389,23512,39583,14317
01223,75250,13693,86122,4893,92000,9325,47250,11168
01224,77717,64499,-,**,-,**,-,**
01225,71081,12699,88750,13049,92460,19361,31458,17601
01226,68915,9418,78348,12776,90242,11756,41419,10641
01229,-,**,65893,31372,-,**,-,**
01230,69328,8238,88397,8334,102500,11561,38402,10057
01235,63947,5878,80028,6319,84028,6018,41354,7475
01236,64048,14436,67318,49568,98125,77407,48153,41157
01237,67625,15853,91830,10227,96894,11000,35243,10080
01238,73333,15101,91397,9838,105179,12791,48214,19532
01240,68393,19874,113750,26491,125982,19444,39353,9800
01242,-,**,88026,87548,125435,71378,-,**
01243,49643,29423,71875,19377,73295,15543,29844,13456
01244,51538,10007,50577,2909,49432,5715,-,**
01245,80417,25218,117750,24048,119375,18500,48750,16955
01247,44721,4223,60744,5885,77667,8597,24861,5221
01253,85417,20896,100625,14121,107500,19346,46016,13914
01254,91484,9826,105500,14538,105714,16917,39875,23942
01255,71023,9156,72083,10207,80938,11558,60278,17010
01256,58125,12327,62500,14636,83333,12441,34432,3381
01257,100909,34319,140938,50451,142923,36389,57875,29387
01258,67500,15696,80000,21718,83125,26795,40000,13791
01259,68438,25874,110673,46346,137917,32879,38750,21262
01260,118508,19475,-,**,168693,51025,-,**
01262,29659,3863,74205,34960,94375,73629,26301,2060
01264,71250,13027,80000,22295,88125,31576,24063,13753
01266,73906,8641,87188,18536,106111,28251,28472,21771
01267,83939,11104,117150,13370,129643,19112,41402,9319
01270,85417,18778,98500,16132,112917,30159,39875,7047
01301,50889,3512,78621,8324,92000,9824,31991,3115
01330,70761,6812,87679,12523,92917,15678,47054,5556
01331,57987,6953,67782,8434,85327,7261,31233,4664
01337,66771,3855,78068,13218,94063,11746,36250,7939
01338,60347,12427,61042,19090,68500,24833,-,**
01339,64813,9089,66607,11711,87692,17532,45500,16838
01340,62500,8425,70804,8371,72656,7343,52500,9665
01341,96563,10268,123333,16735,135074,14968,53214,1708
01342,85341,31406,87386,48266,110938,53069,78977,61674
01343,71625,5726,91250,11525,91250,11525,-,**
01344,62727,12409,84167,7381,86750,14771,29219,13685
01346,69375,22463,78125,17145,84375,36828,25208,11000
01347,53846,20748,-,**,-,**,-,**
01349,65536,19854,70694,20364,83323,12884,59844,42838
01350,28750,6235,26250,19043,-,**,31250,6775
01351,81042,10390,95500,6748,101250,11907,51071,18449
01354,67917,9560,75417,9649,86250,13941,48571,12572
01355,65875,9155,69286,13713,80313,22094,56071,13426
01360,75875,14240,93261,13678,106771,11743,41281,7092
01364,50890,6704,73292,9989,80477,4303,27500,8890
01366,71484,13406,88750,16370,99135,4669,57250,13964
01367,63750,12639,69500,9629,78036,8796,36875,22264
01368,76250,10290,86477,8331,97031,15247,48036,11632
01370,62966,7954,83348,6842,89653,7708,33013,6230
01373,78382,11460,100934,10810,105746,6603,57816,6664
01375,55625,6825,66862,34559,67464,65383,34236,17513
01376,40913,6376,60500,11956,80500,14181,24660,6444
01378,59375,8295,74583,12324,83750,16450,35227,6485
01379,53750,11947,71250,14910,75682,5596,35000,14874
01420,57207,3814,69817,7275,88257,4926,41854,3566
01430,95037,12601,107969,21809,115417,22757,60862,28973
01431,97958,10487,103261,10031,110685,9389,64125,6903
01432,94375,16203,128009,20228,139112,17178,59535,10003
01434,92426,57521,110000,26528,113095,99088,-,**
01436,73169,21253,99688,26356,117065,21231,36279,14081
01438,119808,50794,137975,46090,97313,13998,-,**
01440,49679,4337,63843,5119,79946,5884,29619,4935
01450,129085,12955,159423,17657,172011,18665,46198,11758
01451,162619,16607,175650,31191,190368,31515,78472,44838
01452,91734,11485,108605,12104,117800,15024,41625,18260
01453,61887,3298,77757,4454,91348,5875,37042,5430
01460,123413,10471,143233,12820,152370,12437,54792,13769
01462,103228,6658,117602,10943,136491,16355,47500,12843
01463,104130,5281,124003,7076,134129,4844,50225,12447
01464,76875,17544,111080,25561,122109,23639,44766,13947
01467,-,**,173646,130864,173646,130864,-,**
01468,73246,12965,100996,17100,101695,18592,41394,19151
01469,91964,9025,105789,9023,116690,11337,51198,13137
01473,100972,4515,115820,7146,127905,14841,60987,30501
01474,90302,19680,137969,29821,143558,5609,64688,31815
01475,80267,11999,99911,12818,106152,14972,31203,2606
01501,85432,6652,103029,6935,116477,13745,45865,7652
01503,99297,16046,108393,14369,113958,10765,54500,23509
01504,95375,7093,112581,12312,119602,10383,38839,8153
01505,97591,8582,117310,9439,136389,17677,53125,18980
01506,70338,17157,96406,13013,108813,20938,47928,10777
01507,101111,6145,110509,6022,127458,13386,57978,8168
01510,67634,6999,84521,7254,99278,8445,52132,9458
01515,82946,9576,87163,4682,90938,23506,47000,25088
01516,99943,10051,119231,19029,135313,26236,48221,19101
01518,72470,23860,90109,47075,122071,19160,24973,22472
01519,109670,12615,138875,16109,155852,18152,59698,15858
01520,109529,7796,132122,6544,148214,9456,57797,7484
01521,82179,4326,90774,8944,110417,26811,51736,13015
01522,108036,9583,115694,14916,128173,10489,87614,30348
01523,93385,13898,108616,13425,117844,18025,39018,11493
01524,81042,13138,96375,7751,108929,22525,40509,8281
01525,40947,16029,35885,7004,-,**,-,**
01527,85781,9258,104821,12492,121563,5918,44215,16007
01529,79129,6365,87708,25560,112679,15896,49286,17078
01531,91125,9368,104750,10857,109531,6796,68750,20065
01532,128613,5828,149113,10726,157500,15350,58867,10154
01534,102284,13322,128438,24663,138647,17661,38477,14848
01535,78750,7371,90153,12866,95865,16753,61131,14084
01536,109329,9452,131932,8850,138904,7217,50846,16951
01537,64975,24522,93266,30428,133393,69548,48365,15821
01540,77184,7833,107228,10252,120878,8717,29801,7391
01541,136083,8989,139306,16931,157750,20826,72500,54028
01542,106250,15698,114706,18571,123750,11777,41488,24329
01543,107928,12000,122722,14095,128549,12847,47220,8886
01545,105014,7415,124227,7214,135758,6238,47102,12336
01550,51270,3328,56538,8758,84524,11090,32002,3687
01560,88750,12870,125644,14543,137042,15793,47574,9417
01561,-,**,-,**,-,**,-,**
01562,72821,10112,96026,13008,102975,8949,38109,14748
01564,121458,18714,136058,24969,149063,23465,75800,9432
01566,86731,13058,105202,17484,123803,11513,35000,15415
01568,128796,23111,161579,45499,178208,29614,71250,26704
01569,107740,7523,116803,12480,139423,14349,41192,7159
01570,62281,3836,79291,4231,94651,9807,32837,3060
01571,69071,9508,103493,18262,111642,8761,28607,5477
01581,112153,12878,145722,11682,157367,15258,59970,8609
01583,90688,12749,122500,29895,140000,22339,48663,6512
01585,63182,16944,79620,6400,83958,15661,35133,15627
01588,76250,10932,95250,8836,108459,10980,33468,11700
01590,104710,9162,119141,21935,143679,18242,60433,25378
01602,64942,4767,87092,7664,103910,7851,44016,3350
01603,42904,4255,56630,7707,69026,8108,24589,7750
01604,55665,2822,66482,4480,89722,10924,37473,2645
01605,40390,3177,46641,5321,69233,9923,23876,6022
01606,65708,6350,82592,6918,101429,6931,46237,9058
01607,39928,10693,66875,11463,72061,12126,29013,5869
01608,31384,5108,30077,6739,36179,14514,32586,7005
01609,45992,3649,84844,16898,105941,5238,26500,7593
01610,33695,2661,39928,3762,56050,13596,24474,5969
01611,98140,9674,101375,18989,112098,31516,58990,24740
01612,120469,16450,141875,11449,147031,16784,38485,5187
01701,111209,5134,132227,8241,144281,6279,47990,8042
01702,65154,4429,75394,6578,93045,4789,45611,6740
01718,170789,41572,171184,40222,171711,45170,-,**
01719,115395,15186,155391,19485,174342,15593,58646,23237
01720,141265,5535,175239,11641,185000,17783,55944,10326
01721,124130,15475,144035,9258,161472,12086,67923,9304
01730,128354,12596,165926,25822,185500,10075,75368,13650
01731,107778,15426,107500,17485,112708,18662,-,**
01740,173024,22817,184479,17426,183958,23685,85000,43404
01741,195889,25701,235134,30311,243269,26382,-,**
01742,152240,12621,180037,15488,191058,18161,55775,7714
01745,127700,14165,129150,33252,129150,33252,73523,65328
01746,135340,7654,156364,15188,171163,11151,51316,6954
01747,108294,5001,117326,13321,118563,30644,54662,44869
01748,157353,19363,187381,19314,203135,12595,52500,13692
01749,91706,6383,117831,9508,130132,8478,48047,7496
01752,80943,3803,100813,6929,111453,5561,52050,6460
01754,105254,7975,123869,15892,134118,10864,49919,16913
01756,125945,40028,149419,17446,157564,17351,67589,31245
01757,83243,6102,99035,3811,108199,4814,42549,6232
01760,115446,5363,153979,6642,166067,7681,61613,9028
01770,198681,32304,216107,12137,223426,43501,31914,24440
01772,148409,12653,169819,9526,180956,21551,56169,12886
01773,140125,20548,217442,35082,238450,36035,57500,26047
01775,148235,14948,165574,19706,173512,13540,62062,8589
01776,191310,8020,203253,11005,208250,10667,56667,21968
01778,185906,12323,219167,18223,234698,17761,64271,16456
01801,90969,2853,108448,7805,123068,5090,57975,4198
01803,118721,5680,135634,11030,145357,9037,51908,17277
01810,151334,9025,183438,12177,208182,10637,58775,7060
01821,106141,3238,117917,9108,128859,5522,53264,7973
01824,126081,6833,144644,3913,153361,8110,52719,12107
01826,90000,6811,106300,8647,122422,8605,45185,6991
01827,135909,12816,156641,17061,163309,15034,61438,18358
01830,65224,5540,86981,6363,116458,13641,37132,4834
01832,66961,5118,75205,6691,106992,10176,50625,7819
01833,128466,12120,146111,12106,158050,10763,53854,14684
01834,103125,8316,118889,21286,128807,11496,46406,22406
01835,76538,5951,81186,6417,102165,11713,53469,7008
01840,24045,2687,33125,8438,44342,14517,15605,4960
01841,43411,2766,47199,2974,61064,5326,18681,4417
01843,56680,6663,62703,7659,95692,9393,31757,4487
01844,77484,5423,90201,6333,107769,6979,42207,7259
01845,108070,6477,139191,9510,164804,7638,44955,10780
01850,52827,6356,63989,13034,87078,11664,36020,11855
01851,60596,3681,67587,6097,91792,4608,39148,4926
01852,59037,3324,71969,4105,96082,8976,32737,6115
01854,53322,5938,64615,6834,93557,9184,26568,3614
01860,84609,20770,112423,23644,129333,25833,36479,10942
01862,96514,4804,112813,7768,122386,16062,54946,12506
01863,100672,12840,121304,12741,144258,10186,54000,10645
01864,128651,7153,148281,17513,157500,12339,61439,13621
01867,132948,10598,157217,9911,169790,5794,52083,8262
01876,102934,4066,124726,6961,131131,4328,53887,6601
01879,113489,9629,139816,13962,147361,21608,53654,19997
01880,100693,3766,130570,12194,146485,7444,49947,4260
01886,144917,7452,161024,6513,170213,5160,51200,8206
01887,125922,8257,139131,7720,145015,4864,61996,12107
01890,169623,10363,217633,7956,221628,6209,60450,8800
01901,24446,8779,41321,18880,41393,12646,12917,5641
01902,46224,3187,57693,4907,78847,8339,24314,3980
01904,81788,4142,96518,7482,110577,6098,43814,12768
01905,62927,3365,70008,5606,83120,4307,32314,7990
01906,88630,4855,100524,8164,115595,7884,40785,5062
01907,112761,6661,145570,9046,152194,7484,64716,15125
01908,97778,16778,136548,8409,151667,40426,52833,18084
01913,82468,4800,104673,8748,123239,7029,51067,6413
01915,80586,4255,109124,10778,132643,7160,46158,5130
01921,184007,22873,193676,22671,198308,21988,83583,66546
01922,128083,51174,166328,85496,189680,92946,41034,31443
01923,89250,4620,116046,7820,137353,7339,40288,4717
01929,106283,15808,122750,19894,144563,34525,58506,12900
01930,72574,4551,93479,6845,107108,3915,38117,4018
01937,-,**,-,**,-,**,-,**
01938,93212,6611,120714,11384,130208,8179,42859,7655
01940,119602,13580,158669,18819,173601,13026,49409,9478
01944,148854,30566,169688,28696,182050,26767,53681,12377
01945,123333,12187,149990,15765,173314,17569,56083,11958
01949,125204,12164,143457,23897,149659,24542,68750,24522
01950,109839,11815,141250,13131,158511,8507,63428,9609
01951,95345,14660,104183,15361,116417,18581,50083,27340
01952,81626,5948,100068,5983,110605,6720,47974,12954
01960,73290,4548,96115,4936,110666,8428,42936,5695
01966,85208,10026,107917,13816,119044,9729,42309,11577
01969,115909,23934,134899,24592,134617,32727,50987,34311
01970,68860,2608,86849,7303,107808,4952,49926,7575
01982,127813,20559,149865,12962,156250,19711,46369,14707
01983,136863,8096,162733,33840,170667,16288,36786,19156
01984,128056,34826,157305,13351,166406,20799,36295,5403
01985,149167,32914,180250,22179,191250,20506,-,**
02019,101477,6265,124233,8100,130387,9048,50904,14240
02021,105919,9169,136382,11811,151583,11294,55679,13107
02025,145679,28307,189514,34124,209423,47922,36875,17787
02026,100680,5091,129352,8604,146375,14713,54137,6582
02030,"250,000+",***,"250,000+",***,"250,000+",***,116442,35539
02032,155474,19580,170714,22721,176148,27595,83496,23809
02035,96062,4837,121330,12973,135788,5228,60184,21643
02038,122607,4209,148762,5701,159834,6368,54314,5118
02043,142435,13253,198900,10895,213813,19550,43411,7312
02045,88476,7819,119250,14990,136583,8208,52857,10610
02047,45655,41689,-,**,-,**,45774,32365
02048,120613,8982,135360,12636,151379,8460,53031,9419
02050,102249,5795,126445,8423,137250,13003,45000,9039
02052,160963,11055,186149,19183,192063,16316,39536,17177
02053,132823,13143,153708,7426,167000,16329,58478,14469
02054,106164,7428,110900,17060,122193,20022,58096,12731
02056,151279,10304,168858,8936,174659,14985,61023,14020
02061,157987,7291,173719,12912,185897,11131,34875,12286
02062,90133,5085,113423,8435,123333,5270,53159,4276
02066,130893,13431,154142,11509,176761,17071,55676,18728
02067,141596,9628,162750,12343,177545,15172,49643,10623
02071,110809,9902,110809,9902,112941,6338,-,**
02072,83519,8179,104973,7084,111530,5135,44985,5710
02081,117535,6913,135428,16669,155750,14808,47905,17085
02090,160329,9182,185281,16025,201688,16385,51204,7054
02093,126613,11032,155720,7089,161580,9423,42016,15011
02108,146958,25230,212500,41680,214293,50673,104489,14263
02109,163173,24017,231964,81876,"250,000+",***,128594,34169
02110,142869,67265,"250,000+",***,"250,000+",***,69375,43079
02111,53596,11829,68294,22743,80508,35120,47174,14951
02113,100483,6109,117692,31976,167019,35523,95456,11218
02114,96563,9348,209226,23097,222163,46605,77594,6270
02115,43144,7623,63846,8020,111563,27727,30269,5151
02116,110280,10227,196146,23760,221210,18603,85365,14550
02118,67805,9324,93125,30898,175595,24125,54834,7293
02119,31900,2576,44320,4503,90000,21006,17634,4208
02120,38300,6996,45078,3722,75427,9714,35147,5746
02121,32500,2370,37017,5015,55107,10845,24094,4732
02122,60313,9165,61080,10095,91287,9063,50763,9105
02124,58105,4983,67828,8281,107551,10893,37280,6576
02125,57649,6920,66310,5181,91269,9020,42940,5398
02126,55024,5952,64025,6211,94250,14460,37971,10471
02127,109149,7581,111778,11288,162986,6111,105252,7898
02128,60579,3865,56782,2961,80774,12754,51032,4678
02129,128403,7900,159015,16648,205000,17143,89157,8963
02130,94733,5017,118850,7865,150650,7891,72864,5558
02131,80578,6426,90018,6636,124074,9102,55684,4779
02132,103337,4782,132500,6527,142500,13326,55951,9384
02134,62614,4157,78286,19754,91690,16394,52744,4101
02135,78416,4080,91546,9001,105746,9282,72111,2744
02136,69262,3611,78162,7220,117734,12300,34485,10509
02138,105065,6938,159774,16589,174167,13490,73385,7373
02139,105061,6487,128865,6465,157542,6675,84343,7640
02140,103738,7935,136964,17311,157825,11244,86607,13815
02141,84142,5489,100714,21495,130179,13946,77321,8237
02142,121484,25159,164167,61242,215521,83536,104740,19668
02143,98374,6540,115933,6445,132125,11622,85064,7031
02144,113958,9953,143939,12596,159148,6969,98185,9979
02145,83208,5709,79621,6790,104398,15366,84051,7949
02148,65975,3551,74880,3636,87949,5368,45134,5289
02149,65528,3609,73476,6425,91612,5816,41595,6444
02150,56737,4962,60082,3373,67220,7035,31891,3440
02151,62605,4327,72656,5668,87524,8815,39752,4561
02152,74069,3087,96972,18596,126628,16085,44954,11007
02155,96486,5080,117348,7900,128716,4524,71028,4995
02163,53214,15606,63571,16277,63571,16277,49643,16816
02169,72537,4579,93577,4378,107246,3260,51655,6497
02170,83734,6702,92337,9140,105357,25130,63036,11329
02171,84034,7283,107210,4923,108263,7173,63083,7249
02176,106955,7250,147237,11803,156822,12688,50355,4235
02180,101549,6873,133401,8602,144435,14120,46799,10251
02184,96522,4609,122253,8405,135875,4636,53618,8364
02186,133718,11399,159860,10595,192539,19964,41729,8497
02188,86285,3928,103125,15801,108464,15873,51024,7252
02189,76157,5407,94779,7638,118350,13376,41648,7493
02190,95563,8019,118313,9039,129500,8956,63322,11453
02191,78517,8135,97784,12796,109744,13185,61496,5989
02199,83464,55705,191912,119999,"250,000+",***,67560,39417
02203,-,**,-,**,-,**,-,**
02210,170588,15994,213250,79325,213625,85921,147596,28021
02215,45856,8741,96356,16686,128553,33960,39590,4104
02301,52373,3054,65438,7084,87395,3527,28952,2962
02302,70191,5458,76374,4893,92763,8702,32535,9737
02322,85200,17443,94671,17192,112214,20641,46083,6477
