zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
45135,66250,9446,74839,9573,80435,16027,33716,7500
45140,94188,5611,115368,3790,122371,3439,46698,8065
45142,50859,9635,61229,5736,61229,3731,-,**
45144,33500,7343,48977,19489,71964,14606,18310,1672
45145,-,**,-,**,-,**,-,**
45146,62750,10994,68650,12693,64688,21622,38000,14876
45147,49426,10877,-,**,-,**,53438,47805
45148,47337,8809,51786,8087,54545,13863,37386,14842
45150,66883,3833,89196,5748,103313,4481,33876,2296
45152,80742,7439,87250,13453,102031,8663,50972,28814
45153,61429,31212,83371,24426,85610,6986,40114,32583
45154,63905,4368,76364,6028,79878,8386,38693,12558
45155,45000,13229,57917,27701,41786,13317,-,**
45156,53750,13902,-,**,-,**,-,**
45157,67527,7574,77479,8815,88900,13769,29118,5234
45158,55893,12469,63750,22103,96250,52341,29000,20093
45159,58971,8920,65801,8297,76101,7093,35673,15359
45160,22688,6824,43854,20949,65227,21023,14000,3744
45162,88194,10147,93155,11105,101318,6847,47262,18137
45164,53125,27711,65000,33757,76518,8611,-,**
45166,48375,26546,-,**,-,**,-,**
45167,46299,6786,56447,10867,90938,25127,21313,6611
45168,43750,18663,52930,4830,58750,18834,35557,15065
45169,52500,5257,59602,7090,68802,7279,31847,3762
45171,52217,7533,51250,11103,74394,16521,49291,10442
45172,36250,30426,65208,19819,88750,49184,28125,12781
45174,173750,17814,181979,12129,186202,8090,102969,59061
45176,60625,7291,71220,4907,74436,5881,32083,15173
45177,51110,3620,64315,8093,84888,7295,30470,3081
45202,66185,5348,107457,11690,165083,13474,56990,2972
45203,17410,5028,19233,3920,155156,50459,14856,8152
45204,33434,4474,34694,7813,57202,26971,31182,8250
45205,30502,2283,37549,5127,59826,10046,21110,2236
45206,40986,6028,60100,8332,111364,22779,33956,4774
45207,29669,5349,31811,11526,63542,17452,22353,7584
45208,110448,7173,161474,12289,172017,12527,68194,6030
45209,73377,9126,115417,10017,125964,16263,55581,3360
45211,45465,3801,56021,6184,87192,5370,33971,6127
45212,45842,3209,63038,7053,86305,6620,35732,2424
