zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
01056,105.2,6.0,4.5,18.7
01057,97.7,7.1,6.3,18.7
01060,63.1,10.1,13.8,15.8
01062,89.0,5.9,3.4,20.8
01063,2.3,39.6,60.4,0.0
01066,-,0.0,0.0,100.0
01068,93.8,7.9,6.7,16.5
01069,90.6,5.3,6.7,18.8
01070,112.5,6.3,4.8,29.3
01071,93.3,7.4,7.7,16.9
01072,87.1,6.6,5.1,18.7
01073,104.8,7.2,6.7,19.5
01074,59.3,7.1,23.1,6.1
01075,64.2,10.7,12.3,19.3
01077,101.9,5.3,4.5,21.7
01079,92.8,10.0,0.0,13.3
01080,89.7,13.6,8.3,9.8
01081,98.4,5.6,4.9,16.7
01082,96.0,3.7,4.8,20.5
01083,80.9,5.5,5.8,12.5
01084,97.6,6.5,4.8,32.1
01085,92.7,9.0,9.8,17.5
01086,102.8,79.9,20.1,0.0
01088,88.5,1.8,14.1,9.2
01089,95.3,6.4,6.2,15.9
01092,62.6,7.4,9.7,10.6
01093,104.6,11.8,8.6,29.7
01094,86.1,0.0,4.7,42.1
01095,85.5,7.4,4.7,21.4
01096,103.8,6.8,5.9,21.6
01097,64.7,12.5,0.0,5.4
01098,87.4,3.8,7.3,24.9
01103,80.4,3.1,4.8,10.7
01104,85.9,7.0,8.4,14.3
01105,99.9,6.1,7.2,11.3
01106,91.7,6.6,4.1,20.7
01107,94.7,8.1,10.3,9.9
01108,90.1,7.1,8.6,10.4
01109,91.7,11.6,14.9,10.3
01118,101.8,4.1,5.8,15.7
01119,87.4,10.5,9.0,15.1
01128,109.7,2.5,4.8,25.0
01129,91.3,5.7,6.4,18.0
01151,86.7,5.1,7.9,11.3
01199,-,-,-,-
01201,90.1,4.7,6.1,20.4
01220,105.3,4.9,4.9,19.5
01222,78.1,3.7,7.6,21.8
01223,105.1,4.5,2.3,23.7
01224,92.3,8.8,0.0,0.0
01225,112.7,5.5,3.7,22.2
01226,91.1,5.5,4.2,21.7
01229,152.8,0.0,0.0,42.9
01230,88.4,9.5,4.5,25.1
01235,102.3,5.3,4.5,20.4
01236,92.5,4.4,10.6,21.4
01237,102.6,3.5,4.5,25.4
01238,87.5,6.0,3.6,25.9
01240,88.4,6.2,6.1,41.8
01242,56.0,3.6,0.0,13.8
01243,76.3,3.4,1.5,25.0
01244,175.0,0.0,0.0,43.2
01245,92.6,6.6,2.3,33.1
01247,102.1,7.0,9.8,19.5
01253,97.7,4.6,0.0,36.5
01254,93.1,3.7,0.4,36.7
01255,109.6,5.9,3.3,25.9
01256,123.0,2.8,5.6,20.7
01257,111.9,7.2,7.6,30.8
01258,125.9,8.2,2.9,22.1
01259,94.2,3.0,4.4,34.1
01260,53.6,4.9,16.6,16.2
01262,73.3,2.6,6.3,39.6
01264,70.2,2.9,11.7,31.6
01266,101.7,3.6,3.8,29.8
01267,83.5,18.3,19.5,19.9
01270,102.0,4.4,6.3,21.4
01301,99.2,4.5,5.1,21.2
01330,98.4,5.6,4.9,24.8
01331,87.2,5.6,6.3,16.7
01337,109.1,5.9,3.0,21.7
01338,130.6,0.0,0.0,30.1
01339,88.8,5.1,5.0,28.4
01340,96.8,2.7,7.6,25.3
01341,106.1,5.9,3.5,23.8
