zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
24845,66.8,26.3,8.8,7.1
24846,62.5,0.0,25.6,15.4
24847,136.7,5.4,27.9,18.6
24848,102.7,9.3,0.0,22.7
24849,73.8,8.5,5.2,34.0
24850,91.2,2.2,6.4,29.9
24851,107.6,10.4,4.9,16.4
24853,105.7,0.0,6.7,15.8
24854,182.4,0.0,0.0,11.7
24857,106.1,1.9,5.9,18.1
24860,96.8,0.0,0.0,30.5
24861,208.1,0.0,0.0,8.8
24862,72.0,7.0,0.0,22.1
24866,122.5,10.1,5.1,11.2
24867,67.7,3.8,0.0,43.2
24868,102.9,9.3,4.5,17.7
24869,104.5,0.0,13.0,20.4
24870,94.9,8.2,2.8,16.0
24871,142.2,4.0,3.0,23.4
24872,72.0,11.0,0.0,32.1
24873,131.2,2.4,5.9,16.4
24874,84.5,4.8,3.2,25.4
24878,85.6,3.8,10.8,33.1
24879,104.1,1.8,12.0,35.2
24880,139.9,16.2,0.0,4.9
24881,120.7,4.6,4.3,24.7
24882,162.9,9.2,0.0,15.3
24884,74.7,0.0,0.0,2.3
24887,218.8,35.3,17.6,0.0
24888,74.4,0.0,0.0,25.0
24892,70.9,4.1,1.9,13.2
24894,88.2,0.0,0.0,10.2
24898,133.3,0.0,0.0,0.0
24901,90.5,4.8,4.9,25.7
24910,56.5,6.4,3.8,19.5
24915,90.7,3.9,1.4,31.3
24916,58.5,12.6,0.0,18.6
24918,134.1,7.9,2.4,11.5
24920,179.8,0.0,1.6,29.2
24924,129.3,2.3,0.0,14.3
24925,83.8,10.8,0.0,13.2
24927,78.3,4.9,0.0,24.4
24931,121.0,6.4,2.3,18.3
24934,130.9,0.0,0.0,34.8
24935,116.7,6.4,0.0,46.2
24938,69.8,4.8,3.0,22.5
24941,132.5,5.2,2.7,16.1
24944,57.4,7.2,4.0,15.3
24945,155.1,0.0,6.3,71.4
24946,143.9,1.7,5.3,29.5
24951,94.5,3.9,3.7,19.0
24954,95.4,5.9,6.1,25.3
24957,114.3,12.7,11.3,53.3
24962,107.3,0.0,12.3,0.0
24963,87.9,5.2,4.2,22.3
24966,89.1,3.7,7.8,17.2
24970,126.5,4.9,4.1,22.2
24974,115.8,18.6,0.0,29.0
24976,78.0,1.3,5.0,35.9
24977,111.8,0.0,3.6,31.5
24981,100.6,8.5,6.8,22.2
24983,97.0,3.4,5.4,36.3
24984,332.4,0.0,8.8,53.8
24986,85.9,4.7,7.8,20.3
24991,90.8,3.3,4.7,11.7
25002,-,-,-,-
25003,92.2,5.0,3.9,16.4
25005,92.3,0.0,0.0,38.7
25007,112.9,18.5,0.0,9.6
25008,109.2,7.3,11.7,8.3
25009,98.8,7.3,6.1,20.3
25011,83.7,7.8,7.1,30.1
25015,84.6,6.7,7.1,16.3
25019,124.5,1.1,17.7,21.1
25021,90.0,0.0,9.5,8.1
25022,71.1,8.1,0.0,34.3
25024,72.0,7.6,6.2,7.6
25025,98.1,0.0,0.0,100.0
25028,93.9,3.9,6.0,55.4
25030,122.8,6.0,0.0,30.7
25031,133.0,6.4,7.4,8.7
25033,99.5,7.7,3.2,18.7
25035,158.8,16.8,7.6,7.3
25036,103.8,0.0,0.0,39.3
25039,80.2,5.1,6.4,20.6
25040,89.4,0.0,0.0,26.9
25043,114.9,5.6,3.5,17.0
25044,146.8,6.0,19.4,23.7
25045,97.5,6.1,5.3,21.1
25047,59.6,7.8,0.0,31.9
25048,384.6,0.0,0.0,0.0
25049,75.3,4.0,11.7,15.0
25051,125.0,8.8,0.0,9.1
25053,94.8,6.0,5.9,15.8
25054,67.4,28.1,0.0,32.3
25057,89.0,16.7,0.0,25.8
25059,110.8,11.1,2.4,29.3
25060,86.7,14.6,0.0,16.1
25061,63.8,13.2,3.0,23.0
25062,58.8,0.0,3.9,51.2
25063,67.5,10.4,7.2,22.4
25064,89.8,4.7,4.9,23.2
25067,119.9,12.3,7.7,19.3
25070,79.1,5.0,5.7,16.6
25071,96.0,5.9,4.0,21.1
25075,101.3,7.3,2.5,28.2
25076,60.7,0.0,6.1,14.6
25081,87.8,10.2,3.4,20.2
25082,112.8,9.3,6.5,23.0
25083,80.6,18.1,0.6,12.3
25085,91.9,3.6,5.3,21.2
25086,102.5,2.5,4.6,39.2
25088,75.2,0.0,0.0,10.9
25090,62.5,0.0,0.0,54.7
25093,98.7,2.6,4.2,25.2
25102,68.8,7.4,1.1,23.3
25103,100.0,7.2,15.8,23.7
25106,104.8,1.2,7.5,24.2
25107,95.9,6.1,9.1,28.2
25108,79.3,0.0,15.9,34.3
25109,100.7,20.6,0.0,20.6
25110,34.7,9.7,0.0,28.1
25111,157.3,2.4,6.3,9.6
25112,120.6,42.7,45.3,0.0
25113,80.5,2.1,1.9,33.4
25114,74.4,13.2,9.2,29.0
25115,161.9,14.5,14.5,27.3
25118,149.9,6.2,5.0,22.1
25119,93.8,0.0,0.0,39.5
25121,87.0,3.6,9.9,22.6
25123,113.2,3.2,4.6,16.2
25124,104.5,12.7,5.1,17.3
25125,105.3,10.3,10.8,19.0
25126,197.0,0.0,0.0,51.0
25130,105.9,4.1,2.4,20.6
25132,77.8,0.0,0.0,13.8
25133,87.6,4.7,0.0,19.8
25134,72.6,0.0,7.6,64.2
25136,101.2,13.4,17.6,17.0
25139,105.8,3.1,0.0,23.1
25140,104.2,3.2,7.5,35.6
25141,56.6,0.0,0.0,16.2
25142,115.0,0.0,24.7,15.8
25143,88.5,6.2,4.8,23.7
25148,73.7,0.0,0.0,23.3
25149,101.8,16.5,0.0,16.5
25152,46.9,0.0,5.6,30.5
25154,90.8,7.6,0.0,12.7
25156,73.7,0.0,0.0,31.5
25159,93.3,3.8,2.7,17.2
25160,85.2,14.1,0.0,36.2
25161,31.0,0.0,5.2,24.2
25162,84.9,4.9,2.2,22.3
25164,90.4,4.9,12.6,30.3
25165,102.9,2.6,5.2,19.6
25168,96.9,7.4,7.4,14.1
25169,173.2,3.9,0.0,3.9
25173,101.0,7.4,26.2,17.3
25174,187.4,7.6,2.3,31.1
25177,89.8,5.3,5.4,18.1
25180,55.0,0.0,0.0,40.9
25181,96.2,8.0,4.5,18.8
25183,129.4,0.0,0.0,0.0
25185,-,0.0,2.7,5.8
25186,69.3,6.1,4.2,31.6
25187,66.7,8.2,0.0,22.3
25193,104.1,9.3,11.3,15.7
25201,-,0.0,0.0,0.0
25202,96.7,10.1,4.5,21.3
25203,112.5,0.0,0.0,100.0
25204,45.8,0.0,0.0,29.8
25205,101.7,4.3,0.0,66.9
25206,109.0,0.0,21.8,26.1
25208,157.6,4.5,2.1,16.6
25209,141.4,10.8,4.1,10.8
25211,150.0,0.0,0.0,57.0
25213,100.7,7.4,5.3,15.2
25214,66.7,6.0,5.1,13.1
25234,71.2,3.1,8.1,20.1
25235,107.2,16.1,0.0,7.5
25239,88.7,8.5,2.6,17.2
25241,80.2,12.9,4.0,13.3
25243,119.6,3.8,0.0,42.6
25244,141.9,6.0,11.3,8.1
25245,88.7,3.0,10.5,38.2
25247,120.8,7.2,2.6,15.1
25248,84.4,6.5,8.1,25.5
25251,140.8,13.1,0.0,20.8
25252,82.5,3.5,3.2,26.8
25253,123.7,6.3,10.4,14.5
25259,111.5,3.5,6.1,25.1
25260,85.8,5.2,3.4,25.0
25261,54.1,0.0,3.1,15.3
25262,71.5,5.5,2.0,25.5
25264,109.6,0.0,3.3,44.0
25265,82.8,4.6,10.1,22.1
25266,98.6,0.0,11.8,27.2
25267,119.6,11.0,0.0,37.5
25268,96.3,0.0,6.1,34.0
25270,100.8,12.9,1.3,14.3
25271,108.7,5.4,4.4,18.1
25275,105.3,3.5,2.2,22.4
25276,97.6,6.1,4.3,22.1
25285,88.2,0.0,0.0,8.2
25286,117.4,8.5,0.6,15.9
25287,44.1,0.8,2.3,12.8
25301,96.5,3.9,5.4,21.7
25302,97.8,5.0,4.2,21.4
25303,94.8,4.7,4.3,17.3
25304,85.6,8.6,7.7,24.2
25305,-,-,-,-
25306,100.8,4.7,4.7,19.1
25309,91.3,4.4,5.1,18.6
25311,95.5,4.5,8.0,15.1
25312,95.5,4.8,6.1,17.4
25313,97.1,4.2,6.0,16.7
25314,96.7,5.4,4.5,21.4
25315,89.5,5.2,6.5,25.4
25320,81.4,5.9,7.0,22.7
25401,84.2,5.5,7.0,15.3
25403,106.2,6.7,6.0,14.6
25404,99.0,5.3,4.8,13.7
25405,97.3,6.9,6.0,11.5
25411,93.8,6.7,4.3,24.4
25413,94.4,5.0,6.2,12.4
25414,91.1,5.3,4.0,16.4
25419,104.3,5.2,6.4,18.2
25420,105.8,3.6,4.0,14.9
25422,101.3,4.9,1.1,23.2
25425,100.7,6.2,6.2,13.2
25427,94.3,6.3,5.1,18.2
25428,100.5,6.8,5.3,12.9
25430,103.9,6.3,3.1,14.1
25431,129.3,9.0,0.0,7.8
25432,64.1,0.0,7.6,59.0
25434,109.1,7.4,5.6,17.2
25437,95.7,0.0,25.2,8.0
25438,90.1,5.8,5.7,12.0
25442,108.1,10.1,4.9,18.4
25443,112.2,11.0,11.3,19.0
25444,76.3,0.0,0.0,13.4
25446,89.4,12.0,5.4,18.2
25501,116.2,10.4,1.3,28.5
25502,92.6,11.5,1.9,11.8
25503,107.8,15.0,2.0,10.0
25504,104.6,5.3,7.0,17.5
25505,119.6,0.0,7.4,11.0
25506,126.4,5.0,6.3,18.3
25507,77.6,2.1,11.0,28.4
25508,104.2,2.8,5.6,23.1
25510,119.7,7.5,3.8,14.6
25511,68.1,5.9,8.8,38.2
25512,115.2,4.8,3.8,32.0
25514,91.5,7.7,4.8,22.3
25515,110.3,3.2,2.9,21.0
25517,107.4,8.9,0.5,7.1
25520,70.3,14.2,0.0,27.3
25521,121.8,9.1,15.6,13.5
25523,102.2,4.0,4.8,20.8
25524,86.5,3.8,7.8,10.7
25526,89.0,5.3,4.4,18.7
25529,83.7,9.1,0.0,32.5
25530,95.0,1.8,9.2,20.9
25534,116.7,0.0,0.0,12.6
25535,98.4,6.4,3.4,13.9
25537,78.7,0.0,1.2,36.4
25540,87.0,0.0,18.8,14.3
25541,94.5,7.1,3.9,21.1
25545,91.5,4.5,4.6,19.7
25547,146.8,12.2,0.0,19.5
25550,93.1,4.9,6.0,23.8
25555,106.8,7.4,8.5,17.8
25557,87.3,5.7,8.2,13.1
25559,128.7,5.4,3.2,21.7
25560,106.3,5.2,7.8,19.2
25564,93.4,3.5,3.9,21.6
25565,104.4,7.7,0.0,16.5
25567,63.1,1.7,4.3,27.8
25570,89.1,7.5,7.9,21.5
25571,86.5,8.2,6.1,18.8
25573,106.4,0.0,8.8,34.6
25601,86.0,6.9,4.3,19.9
25606,74.2,7.8,4.9,4.2
25607,166.5,9.4,6.7,15.2
25608,120.7,5.1,4.4,25.6
25611,84.9,0.0,9.5,9.3
25617,47.7,20.5,0.6,16.4
25621,111.2,4.9,5.7,21.8
25624,113.0,0.0,0.0,12.8
25625,252.2,6.5,0.8,12.9
25628,72.3,16.1,0.0,46.6
25630,95.6,3.7,1.9,29.7
25632,84.2,8.0,0.0,20.9
25634,135.3,3.2,1.4,8.6
25635,104.2,9.1,6.4,11.1
25637,115.9,2.1,2.9,27.5
25638,107.0,10.0,9.5,8.9
25639,127.8,5.5,0.0,32.4
25644,64.9,0.0,23.4,23.8
25646,62.0,4.2,1.3,31.2
25647,99.7,3.7,13.3,13.6
25649,74.9,4.1,3.4,11.2
25650,70.6,0.0,7.0,49.8
25651,106.8,4.8,5.3,18.9
25652,80.6,4.4,3.8,25.3
25653,141.8,6.5,0.0,21.0
25654,151.3,0.0,11.7,52.0
25661,89.2,5.4,4.0,18.0
25666,115.9,9.2,0.0,15.8
25669,153.0,2.5,2.7,13.4
25670,97.9,5.5,4.7,20.1
25671,109.5,7.7,4.1,17.1
25672,168.1,0.0,0.0,16.8
25674,81.2,5.2,6.6,18.5
25676,78.3,5.0,8.3,10.0
25678,87.1,8.7,1.8,14.9
25688,57.8,22.2,0.0,17.6
25690,106.1,0.0,20.7,8.5
25692,117.5,4.2,11.1,11.6
25696,51.4,10.7,0.0,34.5
25699,45.9,0.0,0.0,7.3
25701,106.5,5.5,10.8,20.1
25702,96.7,4.2,9.0,19.2
25703,86.4,21.5,34.1,5.1
25704,87.1,5.9,4.6,20.2
25705,86.8,4.5,8.7,17.8
25801,91.7,5.1,6.2,20.2
25810,37.5,0.0,0.0,40.9
25811,86.7,0.0,0.0,100.0
25812,141.1,5.1,8.6,18.6
25813,136.0,4.0,6.0,16.5
25817,136.8,10.5,9.3,31.6
25818,54.4,12.3,21.2,9.2
25820,90.8,8.1,0.0,15.6
25823,83.4,1.1,6.8,21.6
25825,100.6,4.4,1.1,17.5
25826,54.5,6.3,0.0,32.1
25827,99.9,6.5,3.9,11.4
25831,100.2,4.2,3.2,19.4
25832,91.9,1.9,2.7,23.1
25836,302.0,0.0,36.5,27.2
25837,125.3,22.2,0.0,8.0
25839,55.8,0.0,0.0,29.3
25840,102.4,4.5,6.6,19.7
25841,83.0,1.4,3.4,7.5
25843,103.5,7.4,6.6,9.7
25844,120.5,8.6,1.1,27.2
25845,80.7,5.5,13.6,15.6
25846,80.6,10.5,0.0,34.2
25848,91.0,0.0,17.8,8.4
25849,230.3,0.0,0.0,0.0
25853,-,0.0,0.0,100.0
25854,96.1,1.7,8.5,20.1
25855,114.5,0.0,8.0,56.6
25857,151.6,0.0,0.0,37.2
25862,58.1,25.9,0.0,51.7
25864,187.7,3.6,0.0,19.0
25865,104.1,4.6,6.7,22.8
25868,88.1,5.9,9.2,17.9
25870,44.8,0.0,35.7,0.0
25871,97.3,1.0,3.9,23.0
25873,142.3,0.0,0.0,24.7
25875,124.8,7.1,11.6,12.6
25876,144.4,0.0,0.0,27.3
25878,98.0,9.8,0.0,20.9
25879,97.3,11.8,0.0,48.0
25880,88.5,7.0,6.8,22.0
25882,87.3,5.3,6.1,22.9
25901,89.7,5.8,3.4,20.8
25902,83.5,28.6,0.0,49.2
25904,117.9,7.9,6.5,10.5
25906,94.7,0.0,8.5,21.7
25907,342.9,0.0,12.9,0.0
25908,84.6,9.7,0.0,0.0
25911,203.4,14.8,25.0,0.0
25913,84.3,8.2,0.0,9.2
25915,87.8,4.3,10.8,23.0
25916,68.9,0.0,0.0,16.9
25917,88.7,5.4,2.3,15.5
25918,103.2,4.9,4.2,19.7
25920,112.0,35.8,0.0,0.0
25921,88.6,10.4,8.8,17.5
25922,119.2,14.0,31.2,8.1
25928,97.1,0.0,0.0,53.4
25932,115.2,5.7,0.0,23.6
25936,1425.0,0.0,24.6,3.3
25938,115.0,9.2,1.3,17.0
25942,158.0,0.0,0.0,23.6
25951,94.0,4.9,4.7,26.7
25958,137.5,7.6,5.1,20.9
25962,99.0,5.2,5.9,24.4
25969,125.4,6.5,3.3,22.3
25971,99.6,3.1,2.4,34.5
25972,150.7,0.0,11.3,20.8
25976,94.8,3.9,4.1,21.2
25977,102.3,0.0,0.0,0.0
25978,86.4,8.1,11.6,31.8
25979,63.7,0.0,4.9,30.5
25981,163.0,3.0,0.0,18.8
25984,113.0,9.2,3.1,17.3
25985,96.7,4.4,3.7,28.2
25989,29.4,0.0,0.0,9.1
26003,93.7,6.4,6.1,22.0
26030,91.6,9.3,1.9,17.8
26031,103.1,5.3,3.1,23.0
26032,131.4,46.2,25.4,12.4
26033,89.4,5.0,1.7,36.6
26034,89.7,3.7,4.9,25.7
26035,95.2,11.6,2.0,32.1
26036,85.7,3.8,4.1,3.4
26037,106.0,4.4,6.5,20.5
26038,92.4,4.7,2.0,24.1
26039,56.8,7.2,6.0,10.8
26040,112.7,7.1,6.2,14.3
26041,94.8,5.2,5.8,20.2
26047,101.8,7.8,2.8,21.5
26050,107.9,8.0,5.4,19.7
26055,119.5,2.5,6.5,19.5
26056,79.7,13.0,0.0,59.1
26059,97.1,3.3,3.1,24.8
26060,134.3,2.0,6.5,14.9
26062,90.2,4.7,6.2,22.3
26070,90.5,4.2,3.9,24.3
26074,92.9,27.7,42.8,8.5
26075,98.2,11.4,2.9,20.2
26101,91.0,6.3,5.6,18.2
26104,91.1,4.6,6.3,21.4
26105,88.5,6.7,6.6,24.8
26133,81.1,7.0,4.0,22.5
26134,111.1,2.5,6.2,26.1
26136,134.6,8.4,6.9,17.9
26137,81.3,12.2,0.0,20.9
26138,125.9,32.8,0.0,3.8
26141,63.4,2.0,9.2,14.7
26142,133.7,6.5,1.6,15.4
26143,94.7,5.2,4.1,18.7
26146,74.8,4.9,4.0,24.1
26147,94.0,3.8,2.3,30.3
26148,83.1,0.0,24.2,4.7
26149,102.1,5.4,3.1,17.5
26150,100.0,7.2,4.5,14.1
26151,132.5,2.0,3.6,36.0
26152,174.4,29.7,3.4,5.1
26155,91.4,5.7,5.4,23.6
26159,104.5,5.6,5.7,22.3
26160,134.6,2.4,0.0,20.3
26161,102.7,0.0,0.0,13.1
26164,96.5,6.5,5.6,18.8
26167,114.1,6.9,6.5,27.8
26169,111.6,0.0,2.4,22.0
26170,120.2,7.7,6.3,18.7
26175,100.7,5.8,6.4,22.2
26178,83.8,9.2,5.4,26.4
26180,100.1,5.5,6.9,19.2
26181,99.9,5.1,5.3,24.6
26184,96.7,7.7,6.8,12.4
26187,93.4,3.6,2.8,21.0
26201,99.0,7.6,9.1,19.6
26202,125.5,5.5,10.4,32.0
26203,89.9,0.0,0.0,52.7
26205,92.0,5.5,3.2,24.4
26206,95.3,8.4,5.8,18.8
26208,116.4,2.5,7.2,18.6
26209,168.9,5.0,4.1,16.5
26215,127.3,0.0,0.0,100.0
26217,139.1,0.0,0.0,0.0
26218,103.1,6.0,3.3,13.7
26222,93.1,6.4,6.4,34.0
26224,86.1,5.6,0.0,16.8
26228,-,0.0,0.0,0.0
26230,21.5,0.0,0.0,82.3
26234,89.0,4.5,3.1,41.2
26236,166.1,0.0,0.0,0.0
26237,93.5,5.3,2.4,23.4
26238,97.3,9.5,1.6,16.8
26241,92.2,8.3,7.0,24.0
26250,103.2,4.6,8.0,22.4
26253,107.3,6.7,4.3,14.0
26254,96.9,0.0,0.0,24.3
26257,110.8,1.3,8.3,21.6
26259,-,0.0,0.0,0.0
26260,104.4,6.9,3.2,27.9
26261,101.3,3.3,8.2,26.0
26263,134.6,7.0,0.0,39.8
26264,108.7,4.0,1.8,23.0
26266,122.9,0.0,0.0,0.0
26267,83.3,14.6,6.8,4.9
26268,26.9,15.2,18.2,30.3
26269,104.7,1.5,6.7,30.6
26270,121.9,0.4,0.0,31.9
26271,86.3,3.9,2.9,26.0
26273,244.5,2.8,10.1,12.5
26275,75.1,4.9,4.0,12.6
26276,149.2,6.2,0.0,22.8
26278,93.2,6.3,5.1,14.8
26280,93.7,3.1,5.6,21.0
26282,280.0,0.0,0.0,50.0
26283,119.8,6.5,0.6,17.0
26285,135.9,0.0,0.0,29.8
26287,95.6,6.0,6.4,21.9
26288,95.8,3.6,3.9,25.5
26291,97.8,27.8,0.0,11.9
26292,91.6,2.5,5.2,35.4
26293,102.0,0.0,7.2,9.1
26294,101.6,1.5,1.1,30.6
26296,96.3,0.0,0.0,41.5
26298,106.5,11.6,0.0,58.9
26301,97.8,5.8,5.7,18.9
26320,103.8,2.6,6.4,35.5
26321,131.4,8.8,0.0,24.6
26323,111.2,3.8,1.0,10.8
26325,62.1,2.4,2.4,49.8
26327,54.5,0.0,0.0,0.0
26330,86.6,4.2,4.5,19.4
26335,100.7,3.9,0.8,20.9
26337,93.9,9.0,8.3,15.0
26338,150.3,5.2,8.6,15.5
26339,124.8,0.0,7.4,7.0
26342,153.2,2.6,21.0,32.3
26343,93.8,8.8,0.0,24.8
26346,90.6,2.5,6.6,36.5
26347,86.8,8.9,8.7,12.1
26348,66.2,0.0,3.7,27.8
26349,91.4,13.5,0.0,0.0
26351,161.3,9.5,13.8,12.5
26354,104.9,4.8,4.2,21.4
26361,90.0,0.0,24.2,19.5
26362,102.0,5.6,2.9,26.7
26366,-,0.0,0.0,0.0
26369,79.3,0.0,3.9,35.2
26372,116.8,12.1,2.0,11.3
26374,83.5,5.4,8.0,19.9
26376,189.1,0.0,0.0,28.2
26377,85.5,11.0,5.7,10.8
26378,102.7,4.1,3.2,21.2
26384,120.6,4.6,0.0,32.2
26385,93.4,6.9,3.2,18.6
26386,105.7,2.0,13.7,12.5
26404,74.3,8.0,7.9,28.8
26405,99.1,10.5,8.8,18.0
26408,84.7,7.4,6.6,12.2
26410,96.5,7.0,12.6,15.8
26411,117.5,6.8,6.3,18.8
26412,162.4,4.3,6.8,20.9
26415,134.8,3.9,6.2,14.9
26416,96.6,9.0,8.9,17.7
26419,98.7,4.3,3.5,15.3
26421,106.9,7.5,6.7,31.7
26422,81.1,9.0,1.7,8.7
26424,90.6,0.0,12.9,7.9
26425,84.2,6.1,3.7,26.6
26426,114.2,10.8,5.4,24.6
26430,138.0,0.2,6.4,3.4
26431,89.2,5.2,3.0,22.7
26435,169.2,0.0,0.0,64.8
26436,60.4,11.8,0.0,44.4
26437,102.6,9.8,3.5,18.6
26438,21.5,0.0,0.0,30.4
26440,127.2,6.0,8.7,15.0
26443,99.4,9.7,3.4,5.7
26444,100.9,8.3,5.9,20.8
26447,108.9,7.0,6.4,19.6
26448,128.1,4.2,3.5,15.9
26451,74.4,3.4,9.6,12.0
26452,95.1,4.5,6.2,20.4
26456,103.6,8.9,6.2,20.8
26501,112.7,4.2,10.6,14.4
26505,109.2,13.8,25.8,9.7
26508,103.3,4.9,7.7,12.6
26519,79.9,7.7,8.6,17.2
26520,94.3,5.9,13.0,18.8
26521,75.9,0.3,23.4,22.1
26525,161.7,3.2,3.3,15.8
26534,74.0,4.0,39.8,10.8
26537,77.8,5.2,4.6,22.1
26541,108.8,4.9,6.0,9.9
26542,109.8,4.7,3.2,19.5
26543,104.0,23.2,25.5,7.6
26547,100.7,1.5,4.7,14.7
26554,100.6,6.7,9.3,19.6
26559,77.0,7.4,3.9,20.3
26560,59.8,14.6,16.4,22.2
26562,108.2,0.0,0.0,39.3
26563,78.4,2.3,0.0,17.6
26568,103.2,12.0,1.1,14.8
26570,95.2,2.7,7.7,22.6
26571,96.6,8.1,3.1,14.8
26572,129.8,3.5,8.4,3.9
26574,78.0,3.2,4.7,24.6
26575,81.9,2.5,2.7,20.1
26576,64.3,3.2,1.5,8.4
26581,97.1,12.0,3.3,19.7
26582,89.7,6.0,4.6,20.8
26585,140.1,4.0,2.2,27.6
26586,34.3,12.1,0.0,43.3
26587,123.8,12.3,11.1,10.6
26588,93.4,5.1,8.2,15.8
26590,138.5,9.6,2.7,23.1
26591,94.1,2.9,1.1,19.1
26601,127.5,7.7,3.2,20.6
26610,93.3,6.0,3.5,12.1
26611,125.5,0.0,0.0,31.0
26615,60.9,0.0,0.0,67.6
26617,144.0,0.0,0.0,39.3
26619,150.3,0.0,7.7,20.6
26621,101.0,2.9,11.9,10.4
26623,104.3,5.5,4.6,28.5
26624,95.2,3.4,2.6,24.1
26627,46.4,20.1,7.6,0.0
26629,103.3,0.0,0.0,55.4
26631,48.8,0.0,0.0,38.4
26636,98.3,0.0,17.8,17.3
26638,166.7,0.0,0.0,27.9
26651,92.1,3.8,5.7,22.2
26656,45.3,9.6,6.0,29.2
26660,88.6,11.0,8.1,15.0
26662,111.2,8.7,6.0,18.7
26676,96.1,9.8,5.8,37.5
26678,86.3,8.7,3.8,25.2
26679,126.8,6.2,0.4,19.6
26680,131.5,4.1,0.0,23.1
26681,117.2,2.1,3.9,9.9
26684,64.3,0.0,5.6,39.8
26690,71.3,0.0,5.0,27.3
26691,72.4,6.1,5.3,6.3
26704,113.7,5.2,3.0,17.2
26705,124.4,0.0,9.1,20.8
26707,124.6,2.0,8.6,19.1
26710,105.8,4.0,4.2,22.8
26711,106.3,8.2,5.2,17.1
26714,112.1,5.9,0.0,31.5
26716,141.1,3.4,7.8,22.9
26717,88.5,8.1,3.7,19.7
26719,108.4,5.5,1.2,23.6
26720,111.2,5.3,0.0,8.5
26722,83.1,2.7,15.5,32.9
26726,104.0,8.8,7.3,22.2
26731,110.4,5.2,0.0,15.4
26739,142.2,3.0,7.7,26.9
26743,89.5,4.6,0.7,28.2
26750,88.4,8.1,5.3,23.3
26753,102.3,5.0,6.0,16.6
26755,112.3,10.1,4.4,21.2
26757,92.9,7.1,7.4,26.6
26761,141.9,1.7,8.8,15.2
26763,68.9,0.0,4.7,26.3
26764,95.6,5.6,3.8,24.7
26767,70.1,4.1,9.3,13.6
26801,113.9,3.0,2.5,34.3
26802,105.3,1.6,9.8,23.2
26804,120.3,10.0,2.8,26.5
26807,106.4,4.0,3.5,28.0
26808,83.5,0.0,0.0,13.2
26810,131.6,22.9,0.0,9.9
26812,101.2,2.6,5.4,25.0
26814,97.0,4.6,5.7,17.0
26815,122.2,6.1,6.0,26.7
26817,108.9,5.8,0.0,70.3
26818,97.1,3.8,1.9,14.5
26823,131.1,0.0,0.0,36.2
26833,88.4,8.2,5.3,19.9
26836,113.1,5.2,5.1,21.2
26845,97.5,4.7,5.2,17.3
26847,96.2,6.6,5.1,26.6
26851,103.7,4.9,5.2,24.0
26852,109.0,7.7,3.1,20.8
26855,80.2,2.7,0.0,25.0
26865,288.9,0.0,14.3,23.8
26866,82.9,4.0,6.6,35.4
26884,103.7,1.8,8.9,23.1
27006,88.5,6.5,3.7,22.8
27007,121.5,5.8,6.0,17.6
27009,108.6,7.6,3.5,12.8
27011,94.6,6.8,6.8,21.4
27012,90.2,6.2,5.3,18.4
27013,107.1,5.2,3.6,13.7
27014,113.1,11.1,7.0,14.0
27016,123.9,4.1,7.4,16.6
27017,99.3,7.4,6.2,16.2
27018,91.1,6.4,6.0,16.0
27019,118.4,4.7,6.0,19.0
27020,110.1,7.3,4.0,17.9
27021,89.7,6.8,5.6,19.2
27022,121.5,6.4,1.5,23.9
27023,95.2,6.3,4.0,22.1
27024,86.3,8.0,3.7,18.2
27025,94.8,4.5,5.1,24.1
27027,92.6,5.1,5.2,24.6
27028,97.8,6.0,5.8,19.5
27030,90.8,6.5,5.8,21.5
27040,100.1,6.2,4.7,19.8
27041,101.0,5.9,7.9,20.9
27042,91.2,0.0,3.8,13.9
27043,92.4,7.7,3.8,16.3
27045,92.0,4.2,8.0,17.6
27046,92.7,1.7,1.9,17.6
27047,100.4,4.4,5.0,16.1
27048,100.1,7.8,5.9,18.7
27050,100.8,5.1,3.9,23.5
27051,104.6,5.9,5.0,14.5
27052,81.8,5.8,3.8,21.5
27053,109.0,7.1,6.0,21.5
27054,81.7,10.3,7.3,14.1
27055,99.8,5.1,4.9,22.2
27101,104.6,5.7,7.5,13.0
27103,84.1,4.8,5.2,15.4
27104,84.0,6.4,4.5,20.3
27105,93.7,7.8,6.3,15.0
27106,89.9,6.8,9.1,15.5
27107,87.7,7.7,5.5,13.8
27109,82.1,60.8,39.2,0.0
27110,78.8,51.0,48.7,0.0
27127,83.4,6.3,6.1,12.2
27201,100.0,0.0,0.0,39.4
27203,89.5,5.3,7.9,15.8
27205,97.6,6.2,5.4,17.8
27207,72.8,4.8,8.6,24.1
27208,103.7,7.8,8.3,23.2
27209,92.4,6.9,6.6,10.8
27212,197.6,3.2,6.0,15.8
27214,97.3,6.2,7.9,15.0
27215,93.6,5.6,4.9,20.3
27217,88.8,7.4,5.8,14.6
27229,88.1,11.3,8.4,13.1
27231,117.0,6.0,4.3,18.4
27233,101.6,8.9,6.8,15.2
27235,104.7,5.5,4.7,23.7
27239,101.3,7.7,6.0,21.0
27242,94.9,10.3,9.2,25.9
27243,88.0,6.4,2.9,21.5
27244,74.3,14.5,22.8,15.0
